"Supplementary Table S15. List of cell type-specific unmethylated markers (top 25), covered by Illumina TruSeq EPIC hybrid capture panel (hg19).",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,chr,start,end,startCpG,endCpG,position,Number of CpGs,Length,Target meth. ,Background meth.,Diff,Genomic class,Gene,,p-value,,,,,,,,,,,
Blood-T,chr12,47605685,47606095,17675773,17675787,chr12:47605685-47606095,14CpGs,410bp,0.209,0.931,0.722,intron,PCED1B-AS1,,,,,,,,,,,,,
Blood-T,chr2,85667088,85667542,3082349,3082358,chr2:85667088-85667542,9CpGs,454bp,0.213,0.917,0.704,Intergenic,SH2D6,,,,,,,,,,,,,
Blood-T,chr1,117298927,117300174,1268333,1268354,chr1:117298927-117300174,21CpGs,1247bp,0.013,0.919,0.906,intron,CD2,,,,,,,,,,,,,
Blood-T,chr1,117301355,117302207,1268362,1268373,chr1:117301355-117302207,11CpGs,852bp,0.0239,0.899,0.876,intron,CD2,,,,,,,,,,,,,
Blood-T,chr7,99221780,99222108,11495696,11495704,chr7:99221780-99222108,8CpGs,328bp,0.195,0.906,0.712,intron,ZSCAN25,,,,,,,,,,,,,
Blood-T,chr14,22997021,22997931,19394341,19394352,chr14:22997021-22997931,11CpGs,910bp,0.166,0.915,0.749,Intergenic,DAD1,,,,,,,,,,,,,
Blood-T,chr22,20088017,20088585,26235734,26235745,chr22:20088017-20088585,11CpGs,568bp,0.0636,0.908,0.844,intron,DGCR8,,,,,,,,,,,,,
Blood-T,chr5,169740386,169740677,8882243,8882248,chr5:169740386-169740677,5CpGs,291bp,0.0869,0.833,0.746,Intergenic,LCP2,,,,,,,,,,,,,
Blood-T,chr17,80084613,80084816,23309307,23309315,chr17:80084613-80084816,8CpGs,203bp,0.0157,0.907,0.891,intron,CCDC57,,,,,,,,,,,,,
Blood-T,chr5,3980501,3980702,7626354,7626359,chr5:3980501-3980702,5CpGs,201bp,0.0715,0.841,0.77,Intergenic,IRX1,,,,,,,,,,,,,
Blood-T,chr14,23013010,23013827,19394458,19394463,chr14:23013010-23013827,5CpGs,817bp,0.17,0.885,0.715,Intergenic,DAD1,,,,,,,,,,,,,
Blood-T,chr4,873212,873550,6089203,6089211,chr4:873212-873550,8CpGs,338bp,0.0671,0.877,0.81,intron,GAK,,,,,,,,,,,,,
Bone-Osteob,chr6,143447049,143447403,10225771,10225777,chr6:143447049-143447403,6CpGs,354bp,0.0374,0.933,0.896,intron,AIG1,,,,,,,,,,,,,
Bone-Osteob,chr17,20678753,20678922,22518638,22518655,chr17:20678753-20678922,17CpGs,169bp,0.101,0.933,0.832,Intergenic,LOC100287072,,,,,,,,,,,,,
Bone-Osteob,chr6,154780671,154781111,10326150,10326157,chr6:154780671-154781111,7CpGs,440bp,0.12,0.919,0.799,intron,CNKSR3,,,,,,,,,,,,,
Bone-Osteob,chr1,118130149,118130487,1275618,1275629,chr1:118130149-118130487,11CpGs,338bp,0.0761,0.925,0.849,Intergenic,FAM46C,,,,,,,,,,,,,
Bone-Osteob,chr5,1501806,1502131,7586353,7586365,chr5:1501806-1502131,12CpGs,325bp,0.223,0.956,0.734,intron,LPCAT1,,,,,,,,,,,,,
Bone-Osteob,chr5,154334374,154334649,8761966,8761982,chr5:154334374-154334649,16CpGs,275bp,0.338,0.958,0.62,intron,MRPL22,,,,,,,,,,,,,
Bone-Osteob,chr22,33403343,33403543,26429533,26429538,chr22:33403343-33403543,5CpGs,200bp,0.0419,0.866,0.824,promoter-TSS,SYN3,,,,,,,,,,,,,
Bone-Osteob,chr1,244532629,244532894,2229652,2229661,chr1:244532629-244532894,9CpGs,265bp,0.07,0.908,0.838,intron,C1orf100,,,,,,,,,,,,,
Bone-Osteob,chr17,21254214,21254274,22527856,22527861,chr17:21254214-21254274,5CpGs,60bp,0.254,0.922,0.668,Intergenic,KCNJ12,,,,,,,,,,,,,
Bone-Osteob,chr10,3856157,3856583,14692313,14692321,chr10:3856157-3856583,8CpGs,426bp,0.0199,0.887,0.867,Intergenic,KLF6,,,,,,,,,,,,,
Bone-Osteob,chr10,100288470,100288791,15566876,15566882,chr10:100288470-100288791,6CpGs,321bp,0.00403,0.847,0.843,intron,HPSE2,,,,,,,,,,,,,
Bone-Osteob,chr17,59361606,59361958,22974867,22974878,chr17:59361606-59361958,11CpGs,352bp,0.165,0.934,0.769,intron,BCAS3,,,,,,,,,,,,,
Bone-Osteob,chr6,169309308,169309610,10501643,10501653,chr6:169309308-169309610,10CpGs,302bp,0.175,0.9,0.724,Intergenic,THBS2,,,,,,,,,,,,,
Bone-Osteob,chr1,145525223,145526006,1321970,1321979,chr1:145525223-145526006,9CpGs,783bp,0.0571,0.932,0.875,intron,ITGA10,,,,,,,,,,,,,
Bone-Osteob,chr15,84828026,84828840,20892162,20892181,chr15:84828026-84828840,19CpGs,814bp,0.298,0.918,0.619,Intergenic,LOC100505679,,,,,,,,,,,,,
Bone-Osteob,chr17,29804489,29804756,22597429,22597438,chr17:29804489-29804756,9CpGs,267bp,0.282,0.926,0.644,intron,RAB11FIP4,,,,,,,,,,,,,
Bone-Osteob,chr17,71334790,71334988,23112082,23112094,chr17:71334790-71334988,12CpGs,198bp,0.0902,0.909,0.819,exon,SDK2,,,,,,,,,,,,,
Bone-Osteob,chr2,89028125,89028800,3120136,3120146,chr2:89028125-89028800,10CpGs,675bp,0.0898,0.918,0.828,intron,RPIA,,,,,,,,,,,,,
Bone-Osteob,chr6,169309818,169309887,10501655,10501665,chr6:169309818-169309887,10CpGs,69bp,0.287,0.93,0.643,Intergenic,THBS2,,,,,,,,,,,,,
Bone-Osteob,chr4,186835453,186835753,7494570,7494575,chr4:186835453-186835753,5CpGs,300bp,0.0895,0.907,0.818,intron,SORBS2,,,,,,,,,,,,,
Bone-Osteob,chr1,245242718,245242841,2238822,2238827,chr1:245242718-245242841,5CpGs,123bp,0.0552,0.813,0.758,intron,EFCAB2,,,,,,,,,,,,,
Bone-Osteob,chr17,16833421,16833663,22455888,22455895,chr17:16833421-16833663,7CpGs,242bp,0.0806,0.904,0.823,Intergenic,TNFRSF13B,,,,,,,,,,,,,
Bone-Osteob,chr15,82374514,82374707,20865044,20865049,chr15:82374514-82374707,5CpGs,193bp,0.0452,0.896,0.851,Intergenic,MEX3B,,,,,,,,,,,,,
Bone-Osteob,chr6,168473234,168473321,10485805,10485815,chr6:168473234-168473321,10CpGs,87bp,0.0181,0.927,0.909,intron,FRMD1,,,,,,,,,,,,,
Bone-Osteob,chr11,46326464,46326700,16413833,16413838,chr11:46326464-46326700,5CpGs,236bp,0.2,0.896,0.696,intron,CREB3L1,,,,,,,,,,,,,
Breast-Basal-Ep,chr14,105919522,105919721,20195162,20195176,chr14:105919522-105919721,14CpGs,199bp,0.083,0.955,0.872,intron,MTA1,,,,,,,,,,,,,
Breast-Basal-Ep,chr22,36692812,36693195,26465715,26465733,chr22:36692812-36693195,18CpGs,383bp,0.102,0.931,0.829,intron,MYH9,,,,,,,,,,,,,
Breast-Basal-Ep,chr19,14040781,14041351,24368724,24368753,chr19:14040781-14041351,29CpGs,570bp,0.0945,0.91,0.815,TTS;intron,CC2D1A;PODNL1,,,,,,,,,,,,,
Breast-Basal-Ep,chr6,35057138,35057475,9454342,9454355,chr6:35057138-35057475,13CpGs,337bp,0.124,0.938,0.814,exon,ANKS1A,,,,,,,,,,,,,
Breast-Basal-Ep,chr19,39956365,39957253,24719874,24719895,chr19:39956365-39957253,21CpGs,888bp,0.186,0.933,0.746,intron,SUPT5H,,,,,,,,,,,,,
Breast-Basal-Ep,chr21,46398140,46398323,26135447,26135462,chr21:46398140-46398323,15CpGs,183bp,0.172,0.961,0.789,Intergenic,LINC00163,,,,,,,,,,,,,
Breast-Basal-Ep,chr5,176919342,176919704,8978911,8978940,chr5:176919342-176919704,29CpGs,362bp,0.213,0.954,0.741,intron,PDLIM7,,,,,,,,,,,,,
Breast-Basal-Ep,chr1,234529405,234529509,2127985,2127992,chr1:234529405-234529509,7CpGs,104bp,0.0987,0.945,0.846,exon,TARBP1,,,,,,,,,,,,,
Breast-Basal-Ep,chr9,134350774,134351153,14468933,14468959,chr9:134350774-134351153,26CpGs,379bp,0.209,0.938,0.729,exon,PRRC2B,,,,,,,,,,,,,
Breast-Basal-Ep,chr19,4944196,4944585,24180396,24180420,chr19:4944196-4944585,24CpGs,389bp,0.186,0.954,0.768,intron,UHRF1,,,,,,,,,,,,,
Breast-Basal-Ep,chr17,79173297,79174206,23279154,23279196,chr17:79173297-79174206,42CpGs,909bp,0.184,0.938,0.754,intron,AZI1,,,,,,,,,,,,,
Breast-Basal-Ep,chr8,103755444,103755750,13009174,13009180,chr8:103755444-103755750,6CpGs,306bp,0.0767,0.93,0.853,Intergenic,KLF10,,,,,,,,,,,,,
Breast-Basal-Ep,chr2,23645918,23646162,2527511,2527524,chr2:23645918-23646162,13CpGs,244bp,0.143,0.93,0.787,intron,KLHL29,,,,,,,,,,,,,
Breast-Basal-Ep,chr16,4513756,4514232,21222254,21222265,chr16:4513756-4514232,11CpGs,476bp,0.147,0.896,0.749,intron,NMRAL1,,,,,,,,,,,,,
Breast-Basal-Ep,chr5,125761326,125762732,8493234,8493245,chr5:125761326-125762732,11CpGs,1406bp,0.0925,0.927,0.834,intron,GRAMD3,,,,,,,,,,,,,
Breast-Basal-Ep,chr7,99048114,99048352,11492456,11492462,chr7:99048114-99048352,6CpGs,238bp,0.24,0.94,0.7,intron,CPSF4,,,,,,,,,,,,,
Breast-Basal-Ep,chr12,51598106,51598700,17728299,17728312,chr12:51598106-51598700,13CpGs,594bp,0.114,0.91,0.796,intron,POU6F1,,,,,,,,,,,,,
Breast-Basal-Ep,chr14,102896730,102897400,20125023,20125031,chr14:102896730-102897400,8CpGs,670bp,0.172,0.936,0.764,intron,TECPR2,,,,,,,,,,,,,
Breast-Basal-Ep,chr11,66638660,66639477,16623914,16623949,chr11:66638660-66639477,35CpGs,817bp,0.26,0.938,0.678,exon;intron,PC,,,,,,,,,,,,,
Breast-Basal-Ep,chr21,46424553,46424669,26136426,26136435,chr21:46424553-46424669,9CpGs,116bp,0.132,0.924,0.793,exon;promoter-TSS,LINC00162,,,,,,,,,,,,,
Breast-Basal-Ep,chr14,74976190,74977092,19830965,19830980,chr14:74976190-74977092,15CpGs,902bp,0.0999,0.896,0.796,exon;intron,LTBP2,,,,,,,,,,,,,
Breast-Basal-Ep,chr1,28293523,28294270,489091,489106,chr1:28293523-28294270,15CpGs,747bp,0.26,0.931,0.671,exon,XKR8,,,,,,,,,,,,,
Breast-Basal-Ep,chr15,58833989,58834172,20596971,20596986,chr15:58833989-58834172,15CpGs,183bp,0.147,0.95,0.803,exon;intron,LIPC,,,,,,,,,,,,,
Breast-Basal-Ep,chr7,531331,531628,10541735,10541747,chr7:531331-531628,12CpGs,297bp,0.122,0.922,0.8,Intergenic,PDGFA,,,,,,,,,,,,,
Breast-Basal-Ep,chr14,102713035,102713253,20121790,20121798,chr14:102713035-102713253,8CpGs,218bp,0.148,0.938,0.79,intron,MOK,,,,,,,,,,,,,
Breast-Luminal-Ep,chr2,27433191,27433456,2580865,2580875,chr2:27433191-27433456,10CpGs,265bp,0.0959,0.927,0.831,intron,SLC5A6,,,,,,,,,,,,,
Breast-Luminal-Ep,chr2,236424117,236424363,4328528,4328535,chr2:236424117-236424363,7CpGs,246bp,0.0427,0.886,0.844,intron,AGAP1,,,,,,,,,,,,,
Breast-Luminal-Ep,chr2,233986730,233986989,4299128,4299137,chr2:233986730-233986989,9CpGs,259bp,0.0533,0.812,0.758,exon;intron,INPP5D,,,,,,,,,,,,,
Breast-Luminal-Ep,chr1,33263752,33264393,557107,557118,chr1:33263752-33264393,11CpGs,641bp,0.244,0.922,0.677,intron,YARS,,,,,,,,,,,,,
Breast-Luminal-Ep,chr9,139984622,139984981,14601776,14601783,chr9:139984622-139984981,7CpGs,359bp,0.248,0.899,0.651,intron,MAN1B1,,,,,,,,,,,,,
Breast-Luminal-Ep,chr11,71324397,71324560,16711766,16711771,chr11:71324397-71324560,5CpGs,163bp,0.182,0.862,0.68,Intergenic,KRTAP5-11,,,,,,,,,,,,,
Breast-Luminal-Ep,chr19,10295669,10295840,24288061,24288067,chr19:10295669-10295840,6CpGs,171bp,0.0178,0.878,0.86,intron,DNMT1,,,,,,,,,,,,,
Breast-Luminal-Ep,chr8,140755399,140755537,13282497,13282502,chr8:140755399-140755537,5CpGs,138bp,0.162,0.886,0.724,intron,TRAPPC9,,,,,,,,,,,,,
Breast-Luminal-Ep,chr7,132474531,132475186,11782006,11782012,chr7:132474531-132475186,6CpGs,655bp,0.307,0.933,0.626,intron,CHCHD3,,,,,,,,,,,,,
Breast-Luminal-Ep,chr14,105495862,105496129,20182583,20182588,chr14:105495862-105496129,5CpGs,267bp,0.23,0.866,0.636,Intergenic,CDCA4,,,,,,,,,,,,,
Breast-Luminal-Ep,chr11,110318096,110318482,17006741,17006746,chr11:110318096-110318482,5CpGs,386bp,0.189,0.908,0.719,intron,FDX1,,,,,,,,,,,,,
Breast-Luminal-Ep,chr13,30492545,30492843,18680622,18680628,chr13:30492545-30492843,6CpGs,298bp,0.225,0.923,0.699,Intergenic,LINC00544,,,,,,,,,,,,,
Breast-Luminal-Ep,chr3,64240729,64241645,5040480,5040487,chr3:64240729-64241645,7CpGs,916bp,0.223,0.871,0.648,Intergenic,PRICKLE2,,,,,,,,,,,,,
Breast-Luminal-Ep,chr11,6499359,6499714,16097338,16097343,chr11:6499359-6499714,5CpGs,355bp,0.0755,0.865,0.789,intron,ARFIP2,,,,,,,,,,,,,
Breast-Luminal-Ep,chr8,65679189,65679783,12726943,12726951,chr8:65679189-65679783,8CpGs,594bp,0.232,0.9,0.668,intron,CYP7B1,,,,,,,,,,,,,
Breast-Luminal-Ep,chr16,4690375,4690492,21226272,21226278,chr16:4690375-4690492,6CpGs,117bp,0.111,0.791,0.68,intron,MGRN1,,,,,,,,,,,,,
Breast-Luminal-Ep,chr10,61597458,61598946,15209756,15209764,chr10:61597458-61598946,8CpGs,1488bp,0.328,0.906,0.578,intron,CCDC6,,,,,,,,,,,,,
Breast-Luminal-Ep,chr3,124527241,124527870,5437904,5437914,chr3:124527241-124527870,10CpGs,629bp,0.348,0.909,0.561,intron,ITGB5,,,,,,,,,,,,,
Breast-Luminal-Ep,chr6,37727275,37727350,9491387,9491392,chr6:37727275-37727350,5CpGs,75bp,0.241,0.876,0.635,Intergenic,ZFAND3,,,,,,,,,,,,,
Breast-Luminal-Ep,chr12,92685704,92686195,18042337,18042344,chr12:92685704-92686195,7CpGs,491bp,0.247,0.916,0.67,Intergenic,CLLU1,,,,,,,,,,,,,
Breast-Luminal-Ep,chr3,33112115,33113140,4730974,4730982,chr3:33112115-33113140,8CpGs,1025bp,0.259,0.932,0.673,intron,GLB1,,,,,,,,,,,,,
Breast-Luminal-Ep,chr16,85753082,85753582,22073803,22073811,chr16:85753082-85753582,8CpGs,500bp,0.288,0.876,0.588,intron,C16orf74,,,,,,,,,,,,,
Breast-Luminal-Ep,chr1,114217883,114218406,1241678,1241684,chr1:114217883-114218406,6CpGs,523bp,0.294,0.886,0.593,intron,MAGI3,,,,,,,,,,,,,
Breast-Luminal-Ep,chr4,57177980,57178217,6593291,6593296,chr4:57177980-57178217,5CpGs,237bp,0.043,0.871,0.828,intron,KIAA1211,,,,,,,,,,,,,
Breast-Luminal-Ep,chr6,169641078,169641365,10506434,10506448,chr6:169641078-169641365,14CpGs,287bp,0.0824,0.89,0.807,intron,THBS2,,,,,,,,,,,,,
Colon-Ep,chr1,47905855,47906213,738700,738708,chr1:47905855-47906213,8CpGs,358bp,0.00875,0.892,0.883,exon,FOXD2,,,,,,,,,,,,,
Colon-Ep,chr14,62106209,62106229,19702375,19702380,chr14:62106209-62106229,5CpGs,20bp,0.0537,0.966,0.913,intron,FLJ22447,,,,,,,,,,,,,
Colon-Ep,chr3,42817049,42817794,4808360,4808365,chr3:42817049-42817794,5CpGs,745bp,0.0685,0.931,0.863,Intergenic,CCDC13,,,,,,,,,,,,,
Colon-Ep,chr15,40993737,40994330,20429703,20429719,chr15:40993737-40994330,16CpGs,593bp,0.0926,0.937,0.844,exon;intron,RAD51,,,,,,,,,,,,,
Colon-Ep,chr7,65938011,65938940,11179759,11179776,chr7:65938011-65938940,17CpGs,929bp,0.0744,0.913,0.838,Intergenic,LINC00174,,,,,,,,,,,,,
Colon-Ep,chr8,101231738,101232089,12983954,12983959,chr8:101231738-101232089,5CpGs,351bp,0.0449,0.882,0.838,intron,SPAG1,,,,,,,,,,,,,
Colon-Ep,chr15,102284616,102284756,21085457,21085466,chr15:102284616-102284756,9CpGs,140bp,0.0342,0.904,0.869,Intergenic,TARSL2,,,,,,,,,,,,,
Colon-Ep,chr5,122775461,122775972,8473999,8474007,chr5:122775461-122775972,8CpGs,511bp,0.109,0.913,0.804,Intergenic,CEP120,,,,,,,,,,,,,
Colon-Ep,chr19,34791276,34792398,24625377,24625400,chr19:34791276-34792398,23CpGs,1122bp,0.0823,0.926,0.844,intron,KIAA0355,,,,,,,,,,,,,
Colon-Ep,chr7,2102632,2102952,10592522,10592534,chr7:2102632-2102952,12CpGs,320bp,0.261,0.938,0.677,intron,MAD1L1,,,,,,,,,,,,,
Colon-Ep,chr2,1644300,1644764,2309686,2309698,chr2:1644300-1644764,12CpGs,464bp,0.0893,0.872,0.782,intron,PXDN,,,,,,,,,,,,,
Colon-Ep,chr15,75221017,75221876,20782435,20782446,chr15:75221017-75221876,11CpGs,859bp,0.0747,0.928,0.854,exon;intron,COX5A,,,,,,,,,,,,,
Colon-Ep,chr4,187629328,187629491,7505580,7505593,chr4:187629328-187629491,13CpGs,163bp,0.0154,0.937,0.922,exon,FAT1,,,,,,,,,,,,,
Colon-Ep,chr7,2086509,2086645,10592001,10592009,chr7:2086509-2086645,8CpGs,136bp,0.26,0.963,0.703,intron,MAD1L1,,,,,,,,,,,,,
Colon-Ep,chr10,85933927,85935408,15435249,15435262,chr10:85933927-85935408,13CpGs,1481bp,0.0696,0.881,0.811,intron,C10orf99,,,,,,,,,,,,,
Colon-Ep,chr6,158749703,158749961,10370411,10370416,chr6:158749703-158749961,5CpGs,258bp,0.149,0.919,0.77,intron,TULP4,,,,,,,,,,,,,
Colon-Ep,chr6,35109390,35109499,9454901,9454911,chr6:35109390-35109499,10CpGs,109bp,0.1,0.929,0.829,promoter-TSS,TCP11,,,,,,,,,,,,,
Colon-Ep,chr7,138969048,138969574,11838222,11838227,chr7:138969048-138969574,5CpGs,526bp,0.109,0.922,0.813,exon,UBN2,,,,,,,,,,,,,
Colon-Ep,chr1,226074373,226074588,2025596,2025607,chr1:226074373-226074588,11CpGs,215bp,0.104,0.929,0.825,exon,LEFTY1,,,,,,,,,,,,,
Colon-Ep,chr3,125474843,125475095,5448478,5448497,chr3:125474843-125475095,19CpGs,252bp,0.171,0.916,0.745,Intergenic,MIR548I1,,,,,,,,,,,,,
Colon-Ep,chr19,56638704,56638958,25035836,25035843,chr19:56638704-56638958,7CpGs,254bp,0.247,0.933,0.685,Intergenic,ZNF787,,,,,,,,,,,,,
Colon-Ep,chr8,17168987,17169164,12307917,12307924,chr8:17168987-17169164,7CpGs,177bp,0.0866,0.911,0.824,exon;intron,MTMR7,,,,,,,,,,,,,
Colon-Ep,chr2,42849736,42850583,2722356,2722365,chr2:42849736-42850583,9CpGs,847bp,0.206,0.936,0.73,intron,MTA3,,,,,,,,,,,,,
Colon-Ep,chr16,66781322,66781542,21818469,21818475,chr16:66781322-66781542,6CpGs,220bp,0.0294,0.92,0.891,intron,DYNC1LI2,,,,,,,,,,,,,
Colon-Ep,chr1,230736931,230737481,2090213,2090221,chr1:230736931-230737481,8CpGs,550bp,0.0868,0.83,0.743,Intergenic,COG2,,,,,,,,,,,,,
Colon-Fibro,chr3,57657521,57657831,4985778,4985783,chr3:57657521-57657831,5CpGs,310bp,0.354,0.889,0.534,intron,DENND6A,,,,,,,,,,,,,
Dermal-Fibro,chr9,3689072,3689653,13439411,13439424,chr9:3689072-3689653,13CpGs,581bp,0.16,0.922,0.762,Intergenic,RFX3,,,,,,,,,,,,,
Dermal-Fibro,chr7,6266433,6266756,10676269,10676285,chr7:6266433-6266756,16CpGs,323bp,0.177,0.923,0.746,intron,CYTH3,,,,,,,,,,,,,
Dermal-Fibro,chr11,66816067,66816271,16627308,16627324,chr11:66816067-66816271,16CpGs,204bp,0.306,0.936,0.63,exon,SYT12,,,,,,,,,,,,,
Dermal-Fibro,chrX,41329925,41330140,27134524,27134529,chrX:41329925-41330140,5CpGs,215bp,0.253,0.914,0.661,intron,NYX,,,,,,,,,,,,,
Dermal-Fibro,chr5,89819,89958,7547792,7547797,chr5:89819-89958,5CpGs,139bp,0.236,0.882,0.646,Intergenic,PLEKHG4B,,,,,,,,,,,,,
Dermal-Fibro,chr2,28575383,28575838,2594677,2594688,chr2:28575383-28575838,11CpGs,455bp,0.255,0.884,0.629,Intergenic,FOSL2,,,,,,,,,,,,,
Dermal-Fibro,chr12,29543061,29543199,17557762,17557767,chr12:29543061-29543199,5CpGs,138bp,0.343,0.918,0.575,intron,LOC101055625,,,,,,,,,,,,,
Dermal-Fibro,chr1,202883988,202885118,1816427,1816432,chr1:202883988-202885118,5CpGs,1130bp,0.238,0.843,0.605,intron,KLHL12,,,,,,,,,,,,,
Dermal-Fibro,chr2,144499234,144500071,3603247,3603255,chr2:144499234-144500071,8CpGs,837bp,0.264,0.901,0.637,intron,ARHGAP15,,,,,,,,,,,,,
Dermal-Fibro,chr10,48586569,48586821,15119964,15119969,chr10:48586569-48586821,5CpGs,252bp,0.365,0.926,0.561,Intergenic,GDF10,,,,,,,,,,,,,
Dermal-Fibro,chr13,87215142,87215336,19079603,19079609,chr13:87215142-87215336,6CpGs,194bp,0.239,0.891,0.652,Intergenic,SLITRK6,,,,,,,,,,,,,
Dermal-Fibro,chr13,111770580,111770837,19288411,19288417,chr13:111770580-111770837,6CpGs,257bp,0.0848,0.875,0.79,intron,ARHGEF7,,,,,,,,,,,,,
Dermal-Fibro,chr10,48643505,48643754,15120427,15120433,chr10:48643505-48643754,6CpGs,249bp,0.272,0.91,0.638,Intergenic,PTPN20A,,,,,,,,,,,,,
Dermal-Fibro,chr21,30503345,30504252,25921262,25921268,chr21:30503345-30504252,6CpGs,907bp,0.199,0.865,0.666,intron,C21orf7,,,,,,,,,,,,,
Dermal-Fibro,chr14,81712529,81712902,19897325,19897335,chr14:81712529-81712902,10CpGs,373bp,0.22,0.889,0.668,Intergenic,GTF2A1,,,,,,,,,,,,,
Dermal-Fibro,chr11,64427940,64428279,16575419,16575428,chr11:64427940-64428279,9CpGs,339bp,0.164,0.854,0.69,intron,NRXN2,,,,,,,,,,,,,
Dermal-Fibro,chr4,78492874,78493048,6729804,6729811,chr4:78492874-78493048,7CpGs,174bp,0.141,0.857,0.716,intron,CXCL13,,,,,,,,,,,,,
Dermal-Fibro,chr3,72628306,72628676,5109176,5109181,chr3:72628306-72628676,5CpGs,370bp,0.211,0.802,0.59,Intergenic,RYBP,,,,,,,,,,,,,
Dermal-Fibro,chr13,111695882,111696017,19287229,19287238,chr13:111695882-111696017,9CpGs,135bp,0.271,0.916,0.645,Intergenic,ARHGEF7,,,,,,,,,,,,,
Dermal-Fibro,chr5,158445408,158445996,8793914,8793921,chr5:158445408-158445996,7CpGs,588bp,0.319,0.901,0.582,intron,EBF1,,,,,,,,,,,,,
Dermal-Fibro,chr2,72309424,72309586,2979839,2979850,chr2:72309424-72309586,11CpGs,162bp,0.361,0.92,0.558,Intergenic,CYP26B1,,,,,,,,,,,,,
Dermal-Fibro,chr16,84252259,84252583,22039769,22039774,chr16:84252259-84252583,5CpGs,324bp,0.271,0.857,0.585,Intergenic,KCNG4,,,,,,,,,,,,,
Dermal-Fibro,chr2,239427169,239427441,4375237,4375247,chr2:239427169-239427441,10CpGs,272bp,0.165,0.88,0.715,intron,LOC151171,,,,,,,,,,,,,
Dermal-Fibro,chr2,25078998,25079555,2545390,2545400,chr2:25078998-25079555,10CpGs,557bp,0.331,0.917,0.586,intron,ADCY3,,,,,,,,,,,,,
Dermal-Fibro,chr6,7268891,7269199,9144827,9144838,chr6:7268891-7269199,11CpGs,308bp,0.374,0.901,0.527,Intergenic,SSR1,,,,,,,,,,,,,
Endothel,chr17,80804200,80804266,23330221,23330226,chr17:80804200-80804266,5CpGs,66bp,0.143,0.863,0.72,intron,TBCD,,,,,,,,,,,,,
Endothel,chr17,80803660,80804189,23330199,23330220,chr17:80803660-80804189,21CpGs,529bp,0.232,0.933,0.701,intron,TBCD,,,,,,,,,,,,,
Endothel,chr20,62320143,62320310,25776203,25776210,chr20:62320143-62320310,7CpGs,167bp,0.22,0.787,0.567,intron,RTEL1-TNFRSF6B,,,,,,,,,,,,,
Endothel,chr5,32098278,32098496,7845643,7845650,chr5:32098278-32098496,7CpGs,218bp,0.276,0.933,0.657,intron,PDZD2,,,,,,,,,,,,,
Endothel,chr3,129326756,129326962,5503638,5503645,chr3:129326756-129326962,7CpGs,206bp,0.247,0.858,0.611,Intergenic,PLXND1,,,,,,,,,,,,,
Endothel,chr6,113817584,113817952,10017313,10017320,chr6:113817584-113817952,7CpGs,368bp,0.259,0.882,0.623,Intergenic,MARCKS,,,,,,,,,,,,,
Endothel,chr14,104326499,104326618,20154959,20154964,chr14:104326499-104326618,5CpGs,119bp,0.247,0.858,0.611,Intergenic,LINC00637,,,,,,,,,,,,,
Endothel,chr11,65379744,65379963,16597069,16597076,chr11:65379744-65379963,7CpGs,219bp,0.188,0.81,0.622,intron,MAP3K11,,,,,,,,,,,,,
Endothel,chr17,7758376,7758448,22342217,22342225,chr17:7758376-7758448,8CpGs,72bp,0.179,0.793,0.614,promoter-TSS,TMEM88,,,,,,,,,,,,,
Endothel,chr16,1562673,1563151,21143881,21143900,chr16:1562673-1563151,19CpGs,478bp,0.199,0.92,0.721,intron,IFT140,,,,,,,,,,,,,
Endothel,chr4,39392193,39392289,6472495,6472501,chr4:39392193-39392289,6CpGs,96bp,0.275,0.783,0.508,Intergenic,KLB,,,,,,,,,,,,,
Endothel,chr4,166687299,166687454,7328001,7328006,chr4:166687299-166687454,5CpGs,155bp,0.221,0.905,0.685,Intergenic,TLL1,,,,,,,,,,,,,
Endothel,chr20,3719956,3720043,25124127,25124132,chr20:3719956-3720043,5CpGs,87bp,0.289,0.917,0.628,intron,HSPA12B,,,,,,,,,,,,,
Endothel,chr17,7758473,7758693,22342225,22342234,chr17:7758473-7758693,9CpGs,220bp,0.239,0.878,0.639,TTS;promoter-TSS,KDM6B;TMEM88,,,,,,,,,,,,,
Endothel,chr10,30444665,30444961,14971900,14971905,chr10:30444665-30444961,5CpGs,296bp,0.263,0.873,0.61,Intergenic,KIAA1462,,,,,,,,,,,,,
Endothel,chr1,94514390,94514476,1096336,1096341,chr1:94514390-94514476,5CpGs,86bp,0.222,0.829,0.607,intron,ABCA4,,,,,,,,,,,,,
Endothel,chr17,41167472,41167708,22753127,22753132,chr17:41167472-41167708,5CpGs,236bp,0.315,0.843,0.529,TTS;exon,IFI35;VAT1,,,,,,,,,,,,,
Endothel,chr21,44899458,44899672,26099800,26099811,chr21:44899458-44899672,11CpGs,214bp,0.215,0.883,0.669,Intergenic,LINC00313,,,,,,,,,,,,,
Endothel,chr11,75017440,75017929,16754170,16754182,chr11:75017440-75017929,12CpGs,489bp,0.253,0.894,0.641,intron,ARRB1,,,,,,,,,,,,,
Endothel,chr6,159549327,159549554,10382251,10382256,chr6:159549327-159549554,5CpGs,227bp,0.298,0.815,0.516,Intergenic,FNDC1,,,,,,,,,,,,,
