CpG,Chr,Position,Nearest gene,Gene group,Mean,SD,EST (week,P (week),EST (decade),P (decade),EST (life),P (life),FDR p (week),FDR p (decade),FDR p (life),Novel,Any at 10-7,Any at FDR=0.05
cg10368049,7,94023796,COL1A2,TSS200,0.33,0.067,-0.0013,2.8E-05,-0.0013,8.3E-06,-0.0013,6.2E-05,2.8E-03,3.1E-03,1.1E-02,,,yes
cg05230567,19,49575079,KCNA7,Body,0.43,0.080,-0.0014,2.8E-05,-0.0010,9.4E-04,-0.0009,5.1E-03,2.8E-03,6.5E-02,1.5E-01,,,yes
cg24724506,19,55964383,ISOC2,3'UTR,0.35,0.044,-0.0008,2.8E-05,-0.0006,2.2E-04,-0.0006,1.4E-03,2.8E-03,2.7E-02,7.8E-02,,,yes
cg11715228,19,6464013,CRB3,TSS1500,0.55,0.064,-0.0009,2.8E-05,-0.0006,5.0E-03,-0.0008,3.3E-04,2.8E-03,1.6E-01,3.2E-02,,,yes
cg00495443,22,17568163,IL17RA,Body,0.80,0.056,-0.0012,2.8E-05,-0.0010,2.9E-04,-0.0006,4.9E-02,2.8E-03,3.2E-02,4.2E-01,,,yes
cg04573398,11,86086005,CCDC81,1stExon,0.86,0.060,-0.0020,2.8E-05,-0.0015,4.3E-04,-0.0018,3.6E-04,2.8E-03,4.1E-02,3.4E-02,,,yes
cg02708705,17,74264300,FAM100B,Body,0.15,0.060,-0.0016,2.8E-05,-0.0009,1.1E-02,-0.0017,3.5E-05,2.8E-03,2.4E-01,7.7E-03,,,yes
cg25899829,11,75046147,ARRB1,Body,0.77,0.047,-0.0008,2.8E-05,-0.0008,3.5E-05,-0.0005,2.3E-02,2.8E-03,8.2E-03,3.1E-01,,,yes
cg05943655,6,43636172,RSPH9,Body,0.25,0.072,-0.0015,2.8E-05,-0.0008,2.3E-02,-0.0011,4.8E-03,2.8E-03,3.2E-01,1.5E-01,,,yes
cg22158248,12,112204136,ALDH2,TSS1500,0.81,0.057,-0.0013,2.8E-05,-0.0007,1.6E-02,-0.0010,2.0E-03,2.8E-03,2.8E-01,9.4E-02,,,yes
cg02069721,16,84866208,CRISPLD2,5'UTR,0.82,0.048,-0.0013,2.8E-05,-0.0010,4.2E-04,-0.0011,9.9E-04,2.8E-03,4.0E-02,6.3E-02,,,yes
cg00999858,1,25993395,MAN1C1,Body,0.52,0.045,-0.0005,2.8E-05,-0.0004,1.2E-03,-0.0003,3.8E-02,2.9E-03,7.5E-02,3.8E-01,,,yes
cg14675871,5,131408461,CSF2,TSS1500,0.78,0.042,-0.0009,2.8E-05,-0.0006,2.1E-03,-0.0006,9.1E-03,2.9E-03,1.0E-01,2.0E-01,,,yes
cg08301518,19,3672411,PIP5K1C,Body,0.46,0.059,-0.0007,2.8E-05,-0.0005,1.9E-03,-0.0007,1.1E-04,2.9E-03,9.8E-02,1.6E-02,,,yes
cg22012530,8,144635309,GSDMD,TSS1500,0.11,0.046,-0.0018,2.8E-05,-0.0011,7.6E-03,-0.0014,2.6E-03,2.9E-03,2.0E-01,1.1E-01,,,yes
cg14410137,9,96269920,FAM120A,Body,0.77,0.034,-0.0006,2.8E-05,-0.0005,6.7E-04,-0.0003,2.4E-02,2.9E-03,5.4E-02,3.2E-01,,,yes
cg00254681,6,32118457,PRRT1,Body,0.33,0.091,-0.0018,2.8E-05,-0.0016,8.8E-05,-0.0020,8.2E-06,2.9E-03,1.5E-02,3.0E-03,,,yes
cg00287477,4,185721584,ACSL1,Body,0.74,0.060,-0.0012,2.8E-05,-0.0008,5.2E-03,-0.0006,4.9E-02,2.9E-03,1.7E-01,4.2E-01,,,yes
cg04871875,6,89828172,SFRS13B,TSS1500,0.79,0.051,-0.0011,2.8E-05,-0.0009,5.1E-04,-0.0007,8.0E-03,2.9E-03,4.6E-02,1.9E-01,,,yes
cg08924343,1,206331857,CTSE,3'UTR,0.81,0.038,-0.0010,2.8E-05,-0.0009,6.3E-05,-0.0010,3.0E-05,2.9E-03,1.2E-02,7.1E-03,,,yes
cg00813162,14,69443362,ACTN1,Body,0.54,0.068,-0.0005,2.8E-05,-0.0003,3.7E-03,-0.0004,2.5E-04,2.9E-03,1.4E-01,2.8E-02,,,yes
cg16323293,6,163612985,PACRG,Body,0.88,0.045,-0.0013,2.8E-05,-0.0007,9.8E-03,-0.0010,2.8E-03,2.9E-03,2.2E-01,1.1E-01,,,yes
cg17579089,3,47269695,KIF9,3'UTR,0.83,0.060,-0.0011,2.8E-05,-0.0008,1.0E-03,-0.0009,6.8E-04,2.9E-03,6.9E-02,5.0E-02,,,yes
cg18842157,14,68825875,RAD51L1,Body,0.62,0.080,-0.0011,2.8E-05,-0.0010,1.3E-04,-0.0010,6.4E-04,2.9E-03,1.9E-02,4.8E-02,,,yes
cg02232751,11,18415742,LDHA,TSS200,0.47,0.062,-0.0008,2.8E-05,-0.0005,4.1E-03,-0.0006,2.3E-03,2.9E-03,1.5E-01,1.0E-01,,,yes
cg03566787,11,47517381,CUGBP1,TSS1500,0.82,0.043,-0.0010,2.8E-05,-0.0006,3.6E-03,-0.0007,3.2E-03,2.9E-03,1.4E-01,1.2E-01,,,yes
cg18223939,17,40687822,NAGLU,TSS200,0.58,0.079,-0.0010,2.8E-05,-0.0007,1.2E-03,-0.0006,2.3E-02,2.9E-03,7.4E-02,3.1E-01,,,yes
cg05707655,17,908690,ABR,3'UTR,0.61,0.066,0.0010,2.8E-05,0.0006,2.3E-03,0.0009,3.5E-04,2.9E-03,1.1E-01,3.3E-02,,,yes
cg24507955,15,49339070,SECISBP2L,TSS1500,0.50,0.077,-0.0013,2.8E-05,-0.0009,1.0E-03,-0.0013,1.9E-05,2.9E-03,6.8E-02,5.2E-03,,,yes
cg26767990,20,57463615,GNAS,3'UTR,0.47,0.038,-0.0005,2.8E-05,-0.0003,6.5E-03,-0.0004,9.6E-04,2.9E-03,1.8E-01,6.2E-02,,,yes
cg20303028,2,74607507,DCTN1,TSS200,0.44,0.071,-0.0012,2.8E-05,-0.0010,2.7E-04,-0.0014,3.4E-06,2.9E-03,3.1E-02,1.6E-03,,,yes
cg13613146,16,29625989,SLC7A5P1,TSS1500,0.82,0.035,-0.0008,2.8E-05,-0.0007,1.8E-04,-0.0006,3.4E-03,2.9E-03,2.4E-02,1.2E-01,,,yes
cg10407113,16,71843647,AP1G1,TSS1500,0.37,0.054,-0.0009,2.8E-05,-0.0007,1.3E-03,-0.0006,7.0E-03,2.9E-03,7.8E-02,1.8E-01,,,yes
cg14500854,10,53754288,PRKG1,Body,0.86,0.034,-0.0011,2.8E-05,-0.0008,1.1E-03,-0.0008,3.4E-03,2.9E-03,7.3E-02,1.2E-01,,,yes
cg23223330,8,29630611,,,0.59,0.102,-0.0009,2.8E-05,-0.0006,2.6E-03,-0.0007,9.8E-04,2.9E-03,1.1E-01,6.2E-02,,,yes
cg04169483,8,144965509,,,0.41,0.068,-0.0016,2.8E-05,-0.0015,3.5E-05,-0.0018,9.7E-06,2.9E-03,8.2E-03,3.3E-03,,,yes
cg12738197,8,125985883,ZNF572,5'UTR,0.11,0.068,-0.0022,2.8E-05,-0.0013,5.3E-03,-0.0017,1.7E-03,2.9E-03,1.7E-01,8.5E-02,,,yes
cg02904344,6,134498979,SGK1,Body,0.70,0.059,-0.0010,2.8E-05,-0.0007,2.7E-03,-0.0009,7.2E-04,2.9E-03,1.2E-01,5.2E-02,,,yes
cg14988680,1,212688417,,,0.36,0.072,-0.0013,2.9E-05,-0.0010,8.7E-04,-0.0011,1.4E-03,2.9E-03,6.2E-02,7.6E-02,,,yes
cg05432322,5,179284731,C5orf45,Body,0.85,0.043,-0.0012,2.9E-05,-0.0011,4.2E-05,-0.0012,4.2E-05,2.9E-03,9.1E-03,8.8E-03,,,yes
cg01646665,1,156251436,TMEM79,TSS1500,0.43,0.065,-0.0008,2.9E-05,-0.0005,1.7E-03,-0.0005,5.6E-03,2.9E-03,9.3E-02,1.6E-01,,,yes
cg05286653,19,46800602,HIF3A,Body,0.33,0.071,-0.0012,2.9E-05,-0.0009,5.6E-04,-0.0008,5.8E-03,2.9E-03,4.8E-02,1.6E-01,,,yes
cg14755690,7,128868265,AHCYL2,Body,0.88,0.037,-0.0013,2.9E-05,-0.0008,5.4E-03,-0.0010,3.3E-03,2.9E-03,1.7E-01,1.2E-01,,,yes
cg21219903,1,43920090,HYI,TSS200,0.26,0.084,-0.0018,2.9E-05,-0.0014,3.0E-04,-0.0015,9.9E-04,2.9E-03,3.3E-02,6.3E-02,,,yes
cg20488123,6,20689061,CDKAL1,Body,0.56,0.118,-0.0008,2.9E-05,-0.0006,2.2E-03,-0.0008,1.1E-04,2.9E-03,1.1E-01,1.6E-02,,,yes
cg08553913,17,37028977,LASP1,Body,0.43,0.033,-0.0005,2.9E-05,-0.0005,1.0E-04,-0.0006,4.6E-06,2.9E-03,1.7E-02,2.0E-03,,,yes
cg06802565,1,68788961,,,0.88,0.033,-0.0014,2.9E-05,-0.0010,1.4E-03,-0.0009,5.2E-03,2.9E-03,8.2E-02,1.5E-01,,,yes
cg03114584,4,1534311,,,0.54,0.089,-0.0012,2.9E-05,-0.0007,1.2E-02,-0.0009,2.4E-03,2.9E-03,2.5E-01,1.0E-01,,,yes
cg11066209,7,2282252,FTSJ2,TSS1500,0.16,0.038,-0.0011,2.9E-05,-0.0006,1.0E-02,-0.0006,2.3E-02,2.9E-03,2.2E-01,3.1E-01,,,yes
cg24123198,4,184018031,,,0.66,0.073,-0.0014,2.9E-05,-0.0008,1.1E-02,-0.0013,2.2E-04,2.9E-03,2.3E-01,2.5E-02,,,yes
cg07838098,1,228872185,RHOU,Body,0.15,0.048,-0.0014,2.9E-05,-0.0011,9.4E-04,-0.0013,4.1E-04,2.9E-03,6.5E-02,3.7E-02,,,yes
cg25903261,20,62219204,GMEB2,3'UTR,0.78,0.051,-0.0011,2.9E-05,-0.0009,3.2E-04,-0.0007,1.4E-02,2.9E-03,3.4E-02,2.5E-01,,,yes
cg24846416,3,119529290,NR1I2,Body,0.30,0.074,-0.0015,2.9E-05,-0.0012,5.6E-04,-0.0014,1.8E-04,2.9E-03,4.8E-02,2.2E-02,,,yes
cg20237595,3,124301252,KALRN,Body,0.38,0.059,-0.0010,2.9E-05,-0.0008,5.0E-04,-0.0007,6.7E-03,2.9E-03,4.5E-02,1.7E-01,,,yes
cg18281910,1,236635177,EDARADD,Body,0.81,0.040,-0.0011,2.9E-05,-0.0008,6.9E-04,-0.0009,7.2E-04,2.9E-03,5.5E-02,5.2E-02,,,yes
cg17547157,17,29873922,,,0.85,0.036,-0.0011,2.9E-05,-0.0009,4.1E-04,-0.0012,5.1E-05,2.9E-03,4.0E-02,9.9E-03,,,yes
cg27089226,3,195907142,,,0.13,0.043,-0.0015,2.9E-05,-0.0011,1.0E-03,-0.0013,6.4E-04,2.9E-03,6.9E-02,4.8E-02,,,yes
cg21759685,3,46400618,CCR2,3'UTR,0.80,0.045,-0.0010,2.9E-05,-0.0007,2.2E-03,-0.0007,5.1E-03,2.9E-03,1.1E-01,1.5E-01,,,yes
cg17542330,5,79445875,SERINC5,Body,0.52,0.083,-0.0009,2.9E-05,-0.0009,4.4E-06,-0.0008,2.7E-04,2.9E-03,2.0E-03,2.8E-02,,,yes
cg21366673,6,30459512,HLA-E,Body,0.63,0.110,-0.0012,2.9E-05,-0.0010,2.2E-04,-0.0013,2.3E-05,2.9E-03,2.7E-02,5.9E-03,,,yes
cg03565475,10,24986005,ARHGAP21,Body,0.88,0.045,-0.0014,2.9E-05,-0.0011,3.3E-04,-0.0006,5.7E-02,2.9E-03,3.5E-02,4.5E-01,,,yes
cg07746882,10,49866792,,,0.59,0.050,-0.0008,2.9E-05,-0.0005,9.5E-03,-0.0008,9.7E-05,2.9E-03,2.2E-01,1.5E-02,,,yes
cg12303813,1,205283250,NUAK2,Body,0.53,0.073,-0.0008,2.9E-05,-0.0007,2.0E-04,-0.0010,1.8E-06,2.9E-03,2.5E-02,1.0E-03,,,yes
cg24351901,6,29692092,HLA-F,Body,0.35,0.059,-0.0010,2.9E-05,-0.0008,3.2E-04,-0.0007,3.1E-03,2.9E-03,3.4E-02,1.2E-01,,,yes
cg16845730,12,100548442,,,0.71,0.039,-0.0008,2.9E-05,-0.0006,9.4E-04,-0.0003,1.1E-01,2.9E-03,6.5E-02,5.6E-01,,,yes
cg03569876,5,148908014,CSNK1A1,Body,0.78,0.051,-0.0011,2.9E-05,-0.0009,1.1E-04,-0.0010,2.6E-04,2.9E-03,1.7E-02,2.8E-02,,,yes
cg27442349,19,39389219,SIRT2,5'UTR,0.81,0.031,-0.0007,2.9E-05,-0.0007,5.6E-05,-0.0004,1.8E-02,2.9E-03,1.1E-02,2.8E-01,,,yes
cg06023345,8,127568650,FAM84B,3'UTR,0.13,0.052,-0.0018,2.9E-05,-0.0012,1.7E-03,-0.0020,6.3E-06,2.9E-03,9.3E-02,2.5E-03,,,yes
cg20900927,6,3263650,PSMG4,Body,0.74,0.052,-0.0009,2.9E-05,-0.0009,1.4E-05,-0.0006,8.3E-03,2.9E-03,4.3E-03,1.9E-01,,,yes
cg21477717,19,17982682,SLC5A5,TSS200,0.19,0.046,-0.0009,2.9E-05,-0.0005,1.4E-02,-0.0004,7.2E-02,2.9E-03,2.6E-01,4.9E-01,,,yes
cg17791651,1,38513489,POU3F1,TSS1500,0.58,0.067,-0.0011,2.9E-05,-0.0008,3.3E-04,-0.0011,5.1E-05,2.9E-03,3.5E-02,9.9E-03,,,yes
cg07011304,14,24423618,C14orf167,TSS1500,0.35,0.031,-0.0005,2.9E-05,-0.0002,5.0E-02,-0.0004,4.1E-03,2.9E-03,4.3E-01,1.4E-01,,,yes
cg13579030,14,106215515,,,0.85,0.033,-0.0008,2.9E-05,-0.0005,3.5E-03,-0.0006,5.9E-03,2.9E-03,1.3E-01,1.6E-01,,,yes
cg09479241,17,27052676,TLCD1,Body,0.17,0.069,-0.0019,2.9E-05,-0.0011,1.1E-02,-0.0013,5.6E-03,2.9E-03,2.3E-01,1.6E-01,,,yes
cg23507953,17,46638127,HOXB3,5'UTR,0.64,0.052,-0.0009,2.9E-05,-0.0007,8.9E-04,-0.0007,2.0E-03,2.9E-03,6.3E-02,9.3E-02,,,yes
cg21715751,19,33795390,LOC80054,Body,0.56,0.082,-0.0010,2.9E-05,-0.0008,1.7E-04,-0.0008,1.2E-03,2.9E-03,2.3E-02,7.0E-02,,,yes
cg22865798,8,32406613,NRG1,Body,0.07,0.034,-0.0015,2.9E-05,-0.0009,4.3E-03,-0.0009,1.9E-02,2.9E-03,1.5E-01,2.9E-01,,,yes
cg13766864,11,74172851,KCNE3,5'UTR,0.63,0.094,-0.0010,2.9E-05,-0.0007,1.4E-03,-0.0006,1.5E-02,2.9E-03,8.4E-02,2.5E-01,,,yes
cg24313303,1,27113219,PIGV,TSS1500,0.09,0.036,-0.0014,2.9E-05,-0.0008,7.4E-03,-0.0010,3.1E-03,2.9E-03,2.0E-01,1.2E-01,,,yes
cg03443467,4,2813458,SH3BP2,TSS1500,0.64,0.037,-0.0006,2.9E-05,-0.0004,8.3E-03,-0.0006,2.3E-04,2.9E-03,2.1E-01,2.6E-02,,,yes
cg19889855,3,122334330,PARP15,TSS200,0.66,0.068,-0.0011,2.9E-05,-0.0006,1.8E-02,-0.0009,1.4E-03,2.9E-03,2.9E-01,7.8E-02,,,yes
cg07696514,8,42188597,IKBKB,3'UTR,0.82,0.046,-0.0010,2.9E-05,-0.0007,1.3E-03,-0.0010,1.2E-04,2.9E-03,8.0E-02,1.7E-02,,,yes
cg01928411,12,50793981,LARP4,TSS1500,0.95,0.035,-0.0028,2.9E-05,-0.0019,2.2E-03,-0.0014,3.5E-02,2.9E-03,1.0E-01,3.7E-01,,,yes
cg21578330,4,87829966,,,0.38,0.056,-0.0009,2.9E-05,-0.0006,3.0E-03,-0.0007,6.2E-04,2.9E-03,1.2E-01,4.7E-02,,,yes
cg07164125,8,21604831,GFRA2,Body,0.36,0.051,-0.0008,2.9E-05,-0.0006,3.4E-04,-0.0008,7.4E-05,2.9E-03,3.6E-02,1.3E-02,,,yes
cg07021181,11,122853573,BSX,TSS1500,0.75,0.068,-0.0015,2.9E-05,-0.0013,9.5E-05,-0.0015,7.0E-05,2.9E-03,1.6E-02,1.2E-02,,,yes
cg03303515,2,47213998,TTC7A,Body,0.26,0.044,-0.0008,2.9E-05,-0.0005,4.3E-03,-0.0008,9.7E-05,2.9E-03,1.5E-01,1.5E-02,,,yes
cg14472551,11,33563060,C11orf41,TSS1500,0.41,0.079,-0.0011,2.9E-05,-0.0007,6.1E-03,-0.0008,1.8E-03,3.0E-03,1.8E-01,8.8E-02,,,yes
cg11727592,13,46916922,C13orf18,3'UTR,0.71,0.054,-0.0010,2.9E-05,-0.0008,7.6E-04,-0.0008,9.7E-04,3.0E-03,5.8E-02,6.2E-02,,,yes
cg26540004,5,54932693,SLC38A9,Body,0.74,0.071,-0.0011,2.9E-05,-0.0006,1.1E-02,-0.0006,3.0E-02,3.0E-03,2.3E-01,3.5E-01,,,yes
cg27031448,13,27998168,GTF3A,TSS1500,0.35,0.070,-0.0012,2.9E-05,-0.0011,5.7E-05,-0.0017,1.3E-08,3.0E-03,1.1E-02,3.0E-05,,yes,yes
cg08539210,16,90038463,CENPBD1,5'UTR,0.15,0.063,-0.0018,2.9E-05,-0.0012,2.6E-03,-0.0009,3.9E-02,3.0E-03,1.1E-01,3.8E-01,,,yes
cg02358653,2,136632610,MCM6,Body,0.64,0.067,-0.0008,2.9E-05,-0.0005,4.9E-03,-0.0005,1.8E-02,3.0E-03,1.6E-01,2.8E-01,,,yes
cg24844545,1,11908347,NPPA,TSS1500,0.79,0.060,-0.0014,2.9E-05,-0.0007,3.4E-02,-0.0012,5.9E-04,3.0E-03,3.7E-01,4.6E-02,,,yes
cg23035209,5,72795181,BTF3,Body,0.19,0.047,-0.0012,3.0E-05,-0.0006,2.9E-02,-0.0009,2.0E-03,3.0E-03,3.5E-01,9.4E-02,,,yes
cg11668917,2,10586873,SNORA80B,Body,0.66,0.045,-0.0007,3.0E-05,-0.0006,1.9E-05,-0.0005,2.2E-03,3.0E-03,5.4E-03,9.9E-02,,,yes
cg13601957,8,60218373,,,0.74,0.055,-0.0010,3.0E-05,-0.0005,1.4E-02,-0.0005,4.1E-02,3.0E-03,2.6E-01,4.0E-01,,,yes
cg21890850,7,75038777,NSUN5B,TSS1500,0.73,0.039,-0.0008,3.0E-05,-0.0007,4.4E-05,-0.0005,8.1E-03,3.0E-03,9.4E-03,1.9E-01,,,yes
cg01921918,2,170589904,KLHL23,5'UTR,0.23,0.048,-0.0011,3.0E-05,-0.0007,3.6E-03,-0.0009,1.2E-03,3.0E-03,1.4E-01,7.1E-02,,,yes
cg02059080,19,44124666,ZNF428,TSS1500,0.87,0.041,-0.0014,3.0E-05,-0.0012,1.8E-04,-0.0013,2.6E-04,3.0E-03,2.3E-02,2.8E-02,,,yes
cg16954004,3,133613567,RAB6B,Body,0.58,0.049,-0.0009,3.0E-05,-0.0007,2.8E-04,-0.0007,6.3E-04,3.0E-03,3.2E-02,4.8E-02,,,yes
cg14080050,9,33159025,B4GALT1,Body,0.27,0.070,-0.0010,3.0E-05,-0.0006,1.1E-02,-0.0009,5.1E-04,3.0E-03,2.3E-01,4.2E-02,,,yes
cg07716032,17,7122846,DLG4,5'UTR,0.12,0.043,-0.0017,3.0E-05,-0.0010,7.5E-03,-0.0018,5.1E-05,3.0E-03,2.0E-01,9.9E-03,,,yes
cg01132484,3,176916496,TBL1XR1,TSS1500,0.65,0.094,-0.0013,3.0E-05,-0.0009,1.1E-03,-0.0011,7.7E-04,3.0E-03,7.2E-02,5.4E-02,,,yes
cg26055950,1,3600852,TP73,Body,0.48,0.073,-0.0012,3.0E-05,-0.0011,4.4E-05,-0.0011,2.1E-04,3.0E-03,9.6E-03,2.5E-02,,,yes
cg09202659,6,15380565,JARID2,Body,0.81,0.041,-0.0009,3.0E-05,-0.0008,1.2E-05,-0.0006,3.3E-03,3.0E-03,4.0E-03,1.2E-01,,,yes
cg24824472,6,112111043,FYN,5'UTR,0.82,0.042,-0.0010,3.0E-05,-0.0007,2.5E-03,-0.0006,1.1E-02,3.0E-03,1.1E-01,2.3E-01,,,yes
cg02243303,6,52147973,MCM3,Body,0.74,0.067,-0.0011,3.0E-05,-0.0008,4.0E-04,-0.0011,4.6E-05,3.0E-03,3.9E-02,9.2E-03,,,yes
cg23268208,22,30476345,HORMAD2,TSS200,0.47,0.057,-0.0007,3.0E-05,-0.0004,2.5E-03,-0.0005,1.2E-03,3.0E-03,1.1E-01,6.9E-02,,,yes
cg14975410,3,171180070,,,0.52,0.072,-0.0011,3.0E-05,-0.0008,1.2E-03,-0.0006,4.2E-02,3.0E-03,7.4E-02,4.0E-01,,,yes
cg18806923,11,75486296,DGAT2,Body,0.82,0.041,-0.0009,3.0E-05,-0.0005,1.3E-02,-0.0006,1.8E-02,3.0E-03,2.5E-01,2.8E-01,,,yes
cg27049766,19,58220516,ZNF154,5'UTR,0.13,0.067,-0.0023,3.0E-05,-0.0018,6.2E-04,-0.0027,4.1E-06,3.0E-03,5.2E-02,1.8E-03,,,yes
cg05329578,9,2241688,,,0.41,0.096,-0.0018,3.0E-05,-0.0016,6.4E-05,-0.0020,4.3E-06,3.0E-03,1.2E-02,1.9E-03,,,yes
cg24995347,2,231089641,SP140,TSS1500,0.84,0.051,-0.0012,3.0E-05,-0.0007,1.8E-02,-0.0012,2.0E-04,3.0E-03,2.9E-01,2.3E-02,,,yes
cg18588266,14,56229661,,,0.51,0.080,-0.0012,3.0E-05,-0.0005,3.6E-02,-0.0007,2.2E-02,3.0E-03,3.8E-01,3.0E-01,,,yes
cg04657183,2,175636905,,,0.72,0.076,-0.0011,3.0E-05,-0.0008,6.3E-04,-0.0009,7.3E-04,3.0E-03,5.2E-02,5.2E-02,,,yes
cg13558810,1,36038708,TFAP2E,TSS1500,0.49,0.071,-0.0011,3.0E-05,-0.0007,3.6E-03,-0.0008,5.9E-03,3.0E-03,1.4E-01,1.6E-01,,,yes
cg14989316,10,80757927,LOC283050,Body,0.36,0.043,-0.0005,3.0E-05,-0.0003,4.9E-03,-0.0003,6.2E-03,3.0E-03,1.6E-01,1.7E-01,,,yes
cg20236750,10,95516908,LGI1,TSS1500,0.66,0.060,-0.0011,3.0E-05,-0.0006,1.1E-02,-0.0011,6.5E-05,3.0E-03,2.3E-01,1.1E-02,,,yes
cg02349264,16,8960833,CARHSP1,5'UTR,0.65,0.101,-0.0020,3.0E-05,-0.0013,2.1E-03,-0.0019,7.0E-05,3.0E-03,1.0E-01,1.2E-02,,,yes
cg25593631,1,9687880,,,0.69,0.048,-0.0009,3.0E-05,-0.0007,2.3E-04,-0.0008,2.1E-04,3.0E-03,2.7E-02,2.4E-02,,,yes
cg19749361,4,124374860,,,0.84,0.049,-0.0012,3.0E-05,-0.0008,2.8E-03,-0.0007,2.4E-02,3.0E-03,1.2E-01,3.2E-01,,,yes
cg05974580,12,69863874,FRS2,TSS1500,0.37,0.055,-0.0010,3.0E-05,-0.0009,3.7E-05,-0.0011,2.5E-05,3.0E-03,8.6E-03,6.2E-03,,,yes
cg09766547,7,30465150,NOD1,3'UTR,0.69,0.099,-0.0013,3.0E-05,-0.0009,1.3E-03,-0.0009,4.8E-03,3.0E-03,7.9E-02,1.5E-01,,,yes
cg03039243,1,2782699,,,0.55,0.051,-0.0006,3.0E-05,-0.0005,3.2E-04,-0.0006,1.7E-04,3.0E-03,3.4E-02,2.1E-02,,,yes
cg02092181,19,2162766,DOT1L,TSS1500,0.68,0.093,-0.0011,3.0E-05,-0.0008,3.8E-04,-0.0010,2.7E-04,3.0E-03,3.8E-02,2.8E-02,,,yes
cg24313592,11,72020031,CLPB,Body,0.88,0.042,-0.0011,3.0E-05,-0.0007,6.4E-03,-0.0008,4.2E-03,3.0E-03,1.8E-01,1.4E-01,,,yes
cg05527044,2,73510851,,,0.13,0.060,-0.0023,3.0E-05,-0.0022,1.5E-05,-0.0025,2.3E-05,3.0E-03,4.6E-03,5.8E-03,no,,yes
cg04525464,7,24874213,OSBPL3,Body,0.91,0.030,-0.0012,3.0E-05,-0.0007,4.9E-03,-0.0009,3.7E-03,3.0E-03,1.6E-01,1.3E-01,,,yes
cg21487856,2,54828502,SPTBN1,Body,0.52,0.097,-0.0014,3.0E-05,-0.0007,2.8E-02,-0.0006,7.7E-02,3.0E-03,3.5E-01,5.0E-01,,,yes
cg06656924,6,35228319,ZNF76,5'UTR,0.59,0.066,-0.0009,3.0E-05,-0.0007,7.5E-04,-0.0008,8.5E-04,3.0E-03,5.7E-02,5.7E-02,,,yes
cg24082526,19,49993125,RPL13AP5,Body,0.70,0.088,-0.0011,3.0E-05,-0.0010,4.2E-05,-0.0009,7.0E-04,3.0E-03,9.2E-03,5.1E-02,,,yes
cg08675743,5,114938439,TMED7-TICAM2,Body,0.30,0.063,-0.0007,3.0E-05,-0.0004,1.9E-02,-0.0004,4.7E-02,3.0E-03,3.0E-01,4.2E-01,,,yes
cg17288471,2,20804947,,,0.47,0.041,-0.0006,3.0E-05,-0.0005,2.0E-04,-0.0006,2.7E-05,3.0E-03,2.5E-02,6.5E-03,,,yes
cg14009440,1,45138784,TMEM53,Body,0.76,0.055,-0.0009,3.0E-05,-0.0008,4.1E-05,-0.0008,1.5E-04,3.0E-03,9.1E-03,1.9E-02,,,yes
cg14550985,11,66104159,RIN1,TSS200,0.34,0.050,-0.0008,3.0E-05,-0.0006,7.0E-04,-0.0008,1.7E-04,3.0E-03,5.5E-02,2.1E-02,,,yes
cg12063688,14,65173327,PLEKHG3,5'UTR,0.89,0.032,-0.0012,3.0E-05,-0.0006,1.2E-02,-0.0009,2.8E-03,3.0E-03,2.4E-01,1.1E-01,,,yes
cg20696451,10,14881628,HSPA14,Body,0.67,0.063,-0.0011,3.0E-05,-0.0008,1.4E-03,-0.0009,1.4E-03,3.0E-03,8.1E-02,7.6E-02,,,yes
cg00975876,6,41752769,PRICKLE4,Body,0.66,0.055,-0.0008,3.0E-05,-0.0006,4.0E-04,-0.0007,8.4E-04,3.0E-03,3.9E-02,5.7E-02,,,yes
cg01804382,6,47278002,TNFRSF21,TSS1500,0.17,0.036,-0.0010,3.0E-05,-0.0004,5.5E-02,-0.0005,4.8E-02,3.0E-03,4.4E-01,4.2E-01,,,yes
cg21249754,12,7060206,PTPN6,TSS1500,0.16,0.042,-0.0012,3.0E-05,-0.0010,4.0E-04,-0.0010,1.2E-03,3.0E-03,3.9E-02,7.1E-02,,,yes
cg10226967,19,16606648,C19orf44,TSS1500,0.23,0.074,-0.0017,3.0E-05,-0.0011,2.3E-03,-0.0013,1.8E-03,3.0E-03,1.1E-01,8.9E-02,,,yes
cg18788932,12,115135700,,,0.16,0.052,-0.0014,3.0E-05,-0.0011,3.8E-04,-0.0007,5.4E-02,3.0E-03,3.8E-02,4.4E-01,,,yes
cg18651300,5,153568897,GALNT10,TSS1500,0.47,0.049,-0.0008,3.0E-05,-0.0004,2.9E-02,-0.0004,3.7E-02,3.0E-03,3.5E-01,3.8E-01,,,yes
cg02927202,2,174821978,SP3,Body,0.74,0.053,-0.0010,3.0E-05,-0.0008,9.0E-04,-0.0006,3.2E-02,3.0E-03,6.4E-02,3.6E-01,,,yes
cg04927345,8,144965151,,,0.67,0.052,-0.0010,3.0E-05,-0.0008,1.1E-04,-0.0011,1.7E-06,3.0E-03,1.7E-02,9.5E-04,,,yes
cg21711214,22,26875806,HPS4,TSS1500,0.65,0.069,-0.0011,3.0E-05,-0.0008,7.2E-04,-0.0009,9.2E-04,3.0E-03,5.6E-02,6.0E-02,,,yes
