ID,Zscore,P.value,Direction,geneSymbol,CHR,MAPINFO,
cg13740985,7.75,9.21E-15,++,PSAT1;PSAT1,chr9,80930413,
cg27520597,7.75,9.21E-15,++,INSR;INSR,chr19,7159653,
cg23014425,7.74,9.85E-15,++,HOXB3,chr17,46648525,
cg25500027,7.74,9.97E-15,++,LDLRAD2,chr1,22145516,
cg09095403,7.74,1.02E-14,++,HPS4;HPS4;HPS4;HPS4,chr22,26859981,
cg11700959,7.73,1.09E-14,++,PTPN6;PTPN6;PTPN6,chr12,7066664,
cg22262140,7.73,1.11E-14,++,CCDC116,chr22,21986976,
cg21321579,7.73,1.12E-14,++,NTHL1,chr16,2094109,
cg08403095,-7.72,1.13E-14,--,LOC102724957,chr11,15664034,
cg23489671,-7.72,1.18E-14,--,FAM107B;FAM107B;FAM107B;FAM107B;FAM107B;FAM107B;FAM107B;FAM107B;FAM107B;FAM107B;FAM107B,chr10,14614245,
cg04947258,7.72,1.20E-14,++,D2HGDH;D2HGDH;D2HGDH,chr2,242694478,
cg10474004,7.71,1.23E-14,++,CARS;CARS;CARS;CARS;CARS,chr11,3059204,
cg20750889,7.71,1.24E-14,++,CDH1,chr16,68797057,
cg25463963,7.71,1.24E-14,++,PRKD2;PRKD2;PRKD2;PRKD2,chr19,47214580,
cg07021906,7.70,1.39E-14,++,SLC7A5,chr16,87866833,
cg24899577,-7.70,1.40E-14,--,PLCG1-AS1;PLCG1;PLCG1,chr20,39766767,
cg26836824,-7.68,1.56E-14,--,,chr8,29914060,
cg08016417,-7.68,1.56E-14,--,TMEM154,chr4,153588259,
cg06799152,7.68,1.58E-14,++,LRP1,chr12,57561189,
cg18336394,-7.68,1.61E-14,--,,chr3,32955651,
cg20030219,-7.68,1.61E-14,--,TNFAIP8;TNFAIP8;TNFAIP8,chr5,118662502,
cg25934997,7.67,1.75E-14,++,SYNPO,chr5,149995703,
cg18745690,7.66,1.82E-14,++,C7orf43;C7orf43;MIR4658,chr7,99754227,
cg03546183,-7.66,1.87E-14,--,FLI1;FLI1;FLI1;FLI1,chr11,128584167,
cg25255847,-7.66,1.88E-14,--,ZGPAT;ZGPAT;ZGPAT;ZGPAT;ZGPAT,chr20,62360072,
cg12967653,-7.66,1.92E-14,--,,chr6,52183995,
cg16327235,7.65,2.00E-14,++,,chr11,73642478,
cg18930529,-7.65,2.02E-14,--,,chr2,43456487,
cg11806181,-7.65,2.02E-14,--,,chr1,47001017,
cg20625334,-7.65,2.07E-14,--,STAM2,chr2,152991620,
cg16317421,-7.65,2.09E-14,--,,chr8,8244565,
cg08317252,7.64,2.12E-14,++,STK11,chr19,1223163,
cg10898277,-7.64,2.12E-14,--,,chr20,24821220,
cg27106592,7.64,2.14E-14,++,PROSER3;PROSER3,chr19,36255833,
cg17011411,7.64,2.17E-14,++,ISPD;ISPD;ISPD-AS1;ISPD-AS1,chr7,16308656,
cg23893460,7.63,2.35E-14,++,PKM2;PKM2;PKM2,chr15,72492422,
cg00563348,7.63,2.35E-14,++,,chr15,41184109,
cg03523740,-7.63,2.36E-14,--,TXLNA,chr1,32645027,
cg22037492,-7.63,2.40E-14,--,NBEA;MIR548F5;NBEA,chr13,36063461,
cg14827056,7.63,2.42E-14,++,EIF2C2;EIF2C2,chr8,141550539,
cg24409666,7.63,2.44E-14,++,TPRA1;TPRA1;TPRA1,chr3,127299444,
cg02855936,-7.62,2.45E-14,--,,chr19,42449790,
cg19458497,7.62,2.48E-14,++,ATL3,chr11,63403371,
cg21628556,-7.62,2.54E-14,--,,chr7,140144043,
cg00232868,7.62,2.56E-14,++,,chr21,17358642,
cg18318910,-7.62,2.65E-14,--,,chr7,87126869,
cg03734391,7.61,2.67E-14,++,U2AF2;U2AF2,chr19,56182200,
cg13138441,-7.61,2.71E-14,--,ARHGEF10L;ARHGEF10L,chr1,17920733,
cg11851174,7.61,2.72E-14,++,RAI1,chr17,17712609,
cg03059247,-7.61,2.76E-14,--,C8orf12;FAM167A,chr8,11287657,
cg24861866,7.61,2.76E-14,++,TUBGCP2,chr10,135106684,
cg08260754,7.61,2.79E-14,++,,chr19,36100919,
cg09678315,-7.61,2.85E-14,--,NGF,chr1,115875992,
cg02335576,-7.59,3.14E-14,--,AGBL4,chr1,49338938,
cg26959945,-7.59,3.19E-14,--,MACC1,chr7,20233217,
cg11100157,-7.59,3.20E-14,--,MYO10,chr5,16738049,
cg02736280,7.59,3.23E-14,++,WDR81;WDR81;WDR81;WDR81,chr17,1633745,
cg03260624,-7.59,3.23E-14,--,CDC7;CDC7;CDC7,chr1,91970722,
cg13981001,-7.59,3.24E-14,--,RPL12;SNORA65,chr9,130211749,
cg10170269,7.59,3.30E-14,++,GMEB2,chr20,62256006,
cg12933719,-7.59,3.30E-14,--,POU2F1;POU2F1;POU2F1,chr1,167195415,
cg00116699,7.58,3.40E-14,++,HDAC4,chr2,240205260,
cg21412128,-7.57,3.70E-14,--,GPR182,chr12,57387165,
cg15114651,-7.57,3.71E-14,--,SLC1A5;SLC1A5;SLC1A5,chr19,47289410,
cg04940901,7.57,3.80E-14,++,DNAH1,chr3,52418250,
cg15116821,-7.57,3.86E-14,--,,chr5,43769912,
cg05598742,-7.55,4.22E-14,--,FAM213A;FAM213A;FAM213A;FAM213A;FAM213A;FAM213A;FAM213A;FAM213A,chr10,82173622,
cg15958828,-7.55,4.23E-14,--,FOXP1;FOXP1,chr3,71598380,
cg04987734,7.55,4.33E-14,++,CDC42BPB,chr14,103415873,
cg21979287,-7.55,4.35E-14,--,B2M,chr15,45007854,
cg09374346,-7.54,4.55E-14,--,PSMA4;PSMA4;PSMA4,chr15,78835713,
cg14390305,-7.54,4.56E-14,--,,chr6,21649195,
cg11152412,7.54,4.70E-14,++,EDC3;EDC3;EDC3,chr15,74927688,
cg23069057,-7.53,4.97E-14,--,,chr4,14867316,
cg20795999,7.53,5.04E-14,++,CLCN2;CLCN2;CLCN2;CLCN2,chr3,184074817,
cg20432473,7.53,5.06E-14,++,DDX55,chr12,124103253,
cg08122070,7.53,5.11E-14,++,NADK,chr1,1689610,
cg26157920,-7.52,5.37E-14,--,,chr18,20860509,
cg09224529,7.52,5.41E-14,++,SLC35B1;SLC35B1,chr17,47781787,
cg00733441,7.52,5.48E-14,++,,chr11,119189717,
cg20732787,7.52,5.62E-14,++,NCLN,chr19,3191211,
cg00607627,7.52,5.65E-14,++,LAT;LAT;LAT;LAT,chr16,28995994,
cg15732650,7.51,6.03E-14,++,CAMTA1,chr1,7733199,
cg04171038,7.51,6.11E-14,++,EP400,chr12,132512619,
cg14527110,7.50,6.24E-14,++,P4HA2;P4HA2;P4HA2;P4HA2;P4HA2,chr5,131561292,
cg01594316,-7.50,6.25E-14,--,,chr1,40904200,
cg11613559,-7.50,6.26E-14,--,INPP5F;INPP5F,chr10,121577971,
cg02938032,7.50,6.55E-14,++,COPA;COPA,chr1,160267426,
cg08607482,7.49,6.90E-14,++,CSK;CSK,chr15,75092823,
cg09564628,7.49,6.96E-14,++,RAD54L2,chr3,51664313,
cg21697426,-7.49,7.02E-14,--,,chr6,112311269,
cg02632109,-7.49,7.02E-14,--,,chr1,153224680,
cg16651416,-7.49,7.13E-14,--,,chr15,101653904,
cg25831522,-7.48,7.52E-14,--,ST5;ST5;ST5,chr11,8779964,
cg13903162,-7.48,7.60E-14,--,SLC7A11,chr4,139163019,
cg06635918,-7.48,7.62E-14,--,,chr14,65123864,
cg05875906,7.47,7.77E-14,++,GOLGA1,chr9,127650430,
cg26535301,-7.47,7.95E-14,--,,chr12,9947513,
cg20482280,7.47,8.09E-14,++,MTA1,chr14,105936300,
cg15554126,7.47,8.35E-14,++,PEX14,chr1,10690443,
cg16743273,7.46,8.46E-14,++,MOBKL2A,chr19,2076833,
cg18991417,7.46,8.89E-14,++,,chr14,104391679,
cg27457201,7.46,8.94E-14,++,RPTOR;RPTOR,chr17,78854232,
cg03285617,-7.45,9.16E-14,--,NT5E,chr6,86179345,
cg02947519,-7.45,9.18E-14,--,,chr1,85619427,
cg11082684,7.45,9.41E-14,++,TRRAP;TRRAP,chr7,98591756,
cg04953230,-7.44,1.03E-13,--,MALAT1,chr11,65273641,
cg11095027,7.44,1.03E-13,++,TOLLIP,chr11,1297066,
cg07275606,-7.44,1.04E-13,--,BASP1;BASP1,chr5,17267415,
cg00294109,7.44,1.04E-13,++,CRBN,chr3,3219781,
cg23418510,-7.43,1.06E-13,--,PRTFDC1,chr10,25240660,
cg22711149,-7.43,1.07E-13,--,SNHG4;SNHG4;MATR3;MATR3;MATR3,chr5,138611733,
cg04794662,7.43,1.12E-13,++,FOXP1,chr3,71178485,
cg10493038,7.43,1.12E-13,++,,chr10,50480856,
cg10977392,-7.43,1.12E-13,--,FCRL2;FCRL2;FCRL2,chr1,157740155,
cg18349022,7.42,1.16E-13,++,ZNF498,chr7,99222459,
cg07575207,-7.42,1.17E-13,--,ZNRF1,chr16,75046592,
cg03217115,-7.42,1.18E-13,--,,chr2,118942841,
cg04804052,7.41,1.25E-13,++,SMARCA4;SMARCA4;SMARCA4;SMARCA4;SMARCA4;SMARCA4;SMARCA4,chr19,11094658,
cg21568513,-7.41,1.26E-13,--,,chr15,38963907,
cg14177925,-7.41,1.32E-13,--,,chr14,22465676,
cg10843418,7.40,1.35E-13,++,TMEM63A,chr1,226054147,
cg21429551,-7.39,1.43E-13,--,GARS,chr7,30635762,
cg07946345,-7.39,1.46E-13,--,LPP;LPP;LPP,chr3,188276773,
cg16554534,7.39,1.47E-13,++,GGA3;GGA3,chr17,73238513,
cg22499893,-7.39,1.48E-13,--,SFRS13A;SFRS13A,chr1,24307535,
cg12742764,7.38,1.57E-13,++,SEMA4D;SEMA4D,chr9,91996910,
cg12117920,7.38,1.58E-13,++,TMEM184A,chr7,1585469,
cg02752325,7.38,1.59E-13,++,,chr14,101001400,
cg26873338,-7.38,1.64E-13,--,CPSF6,chr12,69637167,
cg05751148,7.37,1.66E-13,++,PTPRCAP,chr11,67204799,
cg21650861,7.37,1.72E-13,++,TPRA1;TPRA1;TPRA1,chr3,127299468,
cg03233728,7.37,1.76E-13,++,ZNF687;ZNF687;ZNF687,chr1,151262748,
cg04425005,-7.36,1.78E-13,--,ZNF827,chr4,146783253,
cg18714263,-7.36,1.80E-13,--,CDK6;CDK6,chr7,92377029,
cg24000163,7.36,1.91E-13,++,MTA1;MTA1,chr14,105935735,
cg12731993,-7.35,1.92E-13,--,EGFEM1P,chr3,168338905,
cg26282731,-7.35,1.92E-13,--,ARHGAP10,chr4,148939288,
cg00591515,7.35,1.94E-13,++,LENG8,chr19,54971526,
cg24126762,7.35,1.99E-13,++,,chr1,201419918,
cg04661759,7.35,2.03E-13,++,RELT;RELT,chr11,73104226,
cg07995927,-7.34,2.14E-13,--,TANK;TANK,chr2,161995135,
cg24930541,-7.34,2.16E-13,--,TNFAIP8;TNFAIP8;TNFAIP8,chr5,118664652,
cg22091236,7.33,2.25E-13,++,RPTOR;RPTOR,chr17,78853966,
cg07349663,7.33,2.26E-13,++,COPA;COPA,chr1,160261619,
cg22197830,-7.33,2.28E-13,--,TXNDC15;TXNDC15,chr5,134209784,
cg06721411,7.33,2.37E-13,++,DQX1,chr2,74753759,
cg16740586,7.33,2.39E-13,++,ABCG1;ABCG1;ABCG1;ABCG1;ABCG1;ABCG1,chr21,43655919,
cg05125838,7.32,2.41E-13,++,UCN2;COL7A1,chr3,48601585,
cg12754982,-7.32,2.45E-13,--,IGF2R,chr6,160409942,
cg15128785,7.32,2.52E-13,++,SREBF2;SREBF2,chr22,42230879,
cg00069760,7.32,2.54E-13,++,,chr3,197035565,
cg02721919,7.32,2.54E-13,++,RNF213;LOC100294362,chr17,78338119,
cg07558761,7.31,2.65E-13,++,SLC7A5,chr16,87866696,
cg24451117,-7.31,2.69E-13,--,MAP3K5,chr6,137094444,
cg07893565,7.31,2.69E-13,++,HPSE;HPSE;HPSE;HPSE,chr4,84218838,
cg07236324,7.31,2.70E-13,++,CUEDC1,chr17,55986035,
cg01581807,-7.31,2.72E-13,--,,chr1,232714905,
cg00502254,7.30,2.85E-13,++,TNFRSF8;TNFRSF8,chr1,12201600,
cg06978145,7.30,2.90E-13,++,TM9SF4,chr20,30754792,
cg19712659,-7.30,2.92E-13,--,SNHG12;SNORD99;SNORA61,chr1,28906356,
cg10982312,7.30,2.97E-13,++,THAP4,chr2,242572944,
cg12866859,-7.30,2.99E-13,--,HEXIM1,chr17,43224332,
cg06628679,-7.30,2.99E-13,--,CLNK,chr4,10609880,
cg17126555,7.29,3.01E-13,++,RAVER1;ICAM3,chr19,10445516,
cg00949930,-7.29,3.02E-13,--,CCDC141,chr2,179916205,
cg26640473,7.29,3.05E-13,++,ADD1;ADD1;ADD1;ADD1,chr4,2927882,
cg19695041,-7.29,3.05E-13,--,TACC1,chr8,38615330,
cg17838000,7.29,3.05E-13,++,PRPF40B;PRPF40B,chr12,50031566,
cg14759482,7.29,3.06E-13,++,TFDP1;TFDP1,chr13,114280854,
cg01420348,-7.29,3.09E-13,--,PCK2;PCK2;PCK2;PCK2,chr14,24564966,
cg19142186,7.29,3.10E-13,++,WDR4;WDR4;WDR4;WDR4;WDR4;WDR4;WDR4;WDR4;WDR4;WDR4;WDR4;WDR4;WDR4;WDR4,chr21,44272416,
cg20970369,-7.29,3.10E-13,--,DENND2D,chr1,111744108,
cg09924669,7.29,3.15E-13,++,IFT140;TMEM204,chr16,1593214,
cg07267541,-7.29,3.17E-13,--,LURAP1L;LURAP1L-AS1,chr9,12784592,
cg02578470,-7.29,3.18E-13,--,MCM2,chr3,127320670,
cg23659289,7.28,3.27E-13,++,ARHGAP27;ARHGAP27,chr17,43472725,
cg15233197,7.28,3.32E-13,++,TRAP1;TRAP1,chr16,3748978,
cg03915012,7.28,3.35E-13,++,GAK,chr4,902074,
cg00522451,7.28,3.47E-13,++,,chr2,113464048,
cg22262738,7.28,3.48E-13,++,EPB41L1;EPB41L1;EPB41L1;EPB41L1;EPB41L1,chr20,34802798,
cg06947286,7.27,3.51E-13,++,PDLIM4;PDLIM4,chr5,131596602,
cg05081930,7.26,3.79E-13,++,,chr17,80239958,
cg12603236,7.26,3.82E-13,++,HPS4;HPS4;HPS4;HPS4,chr22,26860178,
cg17738481,-7.26,3.86E-13,--,,chr5,179374622,
cg26165081,-7.26,3.87E-13,--,PSMA1,chr11,14562955,
cg07703765,-7.26,3.95E-13,--,ACTN4,chr19,39142260,
cg10917593,-7.26,4.02E-13,--,MAML2,chr11,96065862,
cg16409562,7.25,4.03E-13,++,NDRG2;NDRG2;NDRG2;NDRG2;NDRG2;NDRG2;NDRG2;NDRG2,chr14,21485900,
cg18749799,-7.25,4.04E-13,--,MS4A3;MS4A3;MS4A3,chr11,59828426,
cg22047013,7.25,4.10E-13,++,PLEKHG4B,chr5,169593,
cg03484312,-7.25,4.17E-13,--,BEND5;BEND5;AGBL4,chr1,49216204,
cg15570635,7.25,4.18E-13,++,AKAP13;AKAP13,chr15,86124818,
cg05650911,7.24,4.36E-13,++,C11orf84,chr11,63585213,
cg04868886,-7.24,4.49E-13,--,,chr15,38963972,
cg15310800,-7.23,4.81E-13,--,OSBPL6;OSBPL6;OSBPL6;OSBPL6,chr2,179171625,
cg27546431,7.23,4.84E-13,++,MYO1C;MYO1C;MYO1C,chr17,1372751,
cg27617715,7.23,4.90E-13,++,FTCDNL1,chr2,200637602,
cg24644830,-7.23,4.91E-13,--,LRIG1,chr3,66533732,
cg19996939,-7.22,5.20E-13,--,,chr6,135466480,
cg09011401,-7.22,5.26E-13,--,ESRRG;ESRRG;ESRRG;ESRRG;ESRRG;ESRRG;ESRRG;ESRRG;ESRRG;ESRRG;ESRRG;ESRRG;ESRRG;ESRRG;ESRRG;ESRRG,chr1,216770086,
cg08639029,7.22,5.37E-13,++,RCC2;RCC2,chr1,17742901,
cg17344223,7.21,5.46E-13,++,PLXND1,chr3,129295781,
cg06433350,7.21,5.56E-13,++,OSBPL5;OSBPL5;OSBPL5,chr11,3115015,
cg25197194,7.21,5.63E-13,++,CCDC48,chr3,128758787,
cg14170540,-7.21,5.75E-13,--,RGS8;RGS8,chr1,182621537,
cg21503834,7.20,5.85E-13,++,MAD1L1;MAD1L1;MAD1L1,chr7,2185772,
cg05228177,-7.20,5.92E-13,--,EPB41L3,chr18,5579335,
cg26328534,7.20,6.04E-13,++,CD4;CD4;CD4;CD4;CD4,chr12,6901207,
cg07198997,7.20,6.15E-13,++,LYPLA2,chr1,24120115,
cg06571187,-7.19,6.28E-13,--,HSD11B1;HSD11B1;HSD11B1,chr1,209878123,
cg18774692,-7.19,6.34E-13,--,,chr12,89033280,
cg02524941,7.19,6.37E-13,++,SYNGAP1,chr6,33394326,
cg05661982,7.19,6.40E-13,++,EIF3B;EIF3B,chr7,2420084,
cg05288253,-7.19,6.43E-13,--,ANKRD11,chr16,89552259,
cg20664313,7.19,6.45E-13,++,FBRSL1,chr12,133071297,
cg07647459,-7.19,6.52E-13,--,KCNT2;KCNT2;KCNT2,chr1,196471339,
cg13287553,7.19,6.65E-13,++,FOXK1,chr7,4784419,
cg14886850,-7.18,6.83E-13,--,,chr14,75122289,
cg15781627,-7.18,6.84E-13,--,ALPK2,chr18,56296419,
cg07781445,7.18,6.95E-13,++,RAP1GAP2;RAP1GAP2,chr17,2886250,
cg18508695,-7.17,7.29E-13,--,FNDC3B;FNDC3B,chr3,171845883,
cg10179004,7.17,7.32E-13,++,COL7A1;UCN2,chr3,48601902,
cg06912282,7.17,7.34E-13,++,MIB2;MIB2;MIB2;MIB2;MIB2;MIB2,chr1,1563001,
cg04546097,-7.17,7.36E-13,--,HGD;HGD,chr3,120401058,
cg03351508,-7.17,7.37E-13,--,,chr21,16591598,
cg22451412,7.17,7.50E-13,++,EHD4,chr15,42227210,
cg21882620,-7.17,7.58E-13,--,SLC22A23;SLC22A23;SLC22A23;SLC22A23;SLC22A23,chr6,3379971,
cg02633398,7.17,7.62E-13,++,CBFA2T3;CBFA2T3,chr16,88974944,
cg26689780,7.17,7.68E-13,++,WDR1;WDR1,chr4,10079554,
cg08036343,-7.17,7.69E-13,--,ERC2,chr3,55908077,
cg05501148,-7.17,7.75E-13,--,B4GALT5,chr20,48275860,
cg18912103,7.16,8.23E-13,++,C4orf10;NOP14,chr4,2944692,
cg27528326,-7.16,8.35E-13,--,,chr11,14396120,
cg02650017,7.15,8.59E-13,++,PHOSPHO1;PHOSPHO1,chr17,47301614,
cg25173739,7.15,8.80E-13,++,PDLIM7;PDLIM7;PDLIM7;PDLIM7,chr5,176920516,
cg16886828,7.15,8.88E-13,++,KDM4B,chr19,5032663,
cg25948093,7.15,8.93E-13,++,SMG9,chr19,44249408,
cg02439540,-7.14,9.07E-13,--,CACNA1D;CACNA1D;CACNA1D,chr3,53705820,
cg23847237,-7.14,9.07E-13,--,,chr7,47258013,
cg18502684,7.14,9.20E-13,++,PLCH2;PLCH2;PLCH2,chr1,2425952,
cg10306703,-7.14,9.31E-13,--,C10orf40,chr10,61719561,
cg27653384,7.14,9.48E-13,++,PPM1F,chr22,22293118,
cg00771161,-7.14,9.56E-13,--,,chr7,104603404,
cg15000547,-7.13,9.72E-13,--,,chr2,200604510,
cg11589723,7.13,9.79E-13,++,GLTSCR1,chr19,48205483,
cg23419447,7.13,9.81E-13,++,HCCA2,chr11,1507347,
cg18315160,7.13,1.01E-12,++,LPPR3;LPPR3,chr19,815275,
cg02642690,7.13,1.01E-12,++,ZFYVE28;ZFYVE28;ZFYVE28,chr4,2297233,
cg12986064,7.12,1.06E-12,++,,chr22,32366004,
cg20573211,-7.12,1.07E-12,--,SCML4;SCML4,chr6,108088001,
cg25461369,7.12,1.12E-12,++,CDCP2,chr1,54618804,
cg04130851,-7.11,1.14E-12,--,ETV6;RNU6-19P,chr12,11992105,
cg21025681,7.11,1.16E-12,++,EXOSC10;EXOSC10,chr1,11134131,
cg00732589,7.11,1.17E-12,++,FDX1,chr11,110299881,
cg22509679,-7.11,1.18E-12,--,,chr12,10379548,
cg05798299,-7.11,1.19E-12,--,RAB27A;RAB27A;RAB27A;RAB27A,chr15,55563048,
cg12378834,-7.10,1.21E-12,--,C5orf66,chr5,134646487,
cg04812106,-7.10,1.25E-12,--,FHIT;FHIT,chr3,60827347,
cg00014380,7.10,1.25E-12,++,VASN;CORO7-PAM16;CORO7;CORO7;CORO7,chr16,4424290,
cg09466818,7.10,1.27E-12,++,UPF1,chr19,18965708,
cg18495767,-7.10,1.29E-12,--,,chr6,119041216,
cg09482417,7.09,1.32E-12,++,ERGIC1,chr5,172305242,
cg13077865,7.09,1.33E-12,++,,chr8,105655901,
cg18763536,-7.09,1.39E-12,--,ETV6,chr12,11812062,
cg11129609,7.08,1.40E-12,++,WDR46;WDR46,chr6,33247250,
cg07333545,-7.08,1.40E-12,--,,chr6,52170606,
cg17548845,7.08,1.42E-12,++,,chr21,43728644,
cg26110474,-7.08,1.42E-12,--,,chr11,32054712,
cg00195322,-7.08,1.44E-12,--,B4GALT5,chr20,48278559,
cg01475676,-7.08,1.46E-12,--,RALGPS2;RALGPS2,chr1,178722239,
cg24295032,7.08,1.46E-12,++,FOXN3,chr14,89976955,
cg16713264,7.08,1.47E-12,++,WDR77,chr1,111984346,
cg24213830,7.07,1.51E-12,++,DCTN2;DCTN2;DCTN2,chr12,57937334,
cg02787218,7.07,1.54E-12,++,NCKIPSD;NCKIPSD,chr3,48717275,
cg15264991,7.07,1.54E-12,++,PTPN6;PTPN6;PTPN6,chr12,7066563,
cg02385309,7.07,1.54E-12,++,MAFF;MAFF;MAFF;MAFF,chr22,38609371,
cg11004109,7.07,1.55E-12,++,MTA1;MTA1,chr14,105934278,
cg20776499,7.07,1.57E-12,++,ITGA9,chr3,37588705,
cg17118239,7.07,1.58E-12,++,QSOX1;QSOX1,chr1,180157508,
cg15380836,7.06,1.61E-12,++,RILP;RILP,chr17,1553341,
cg03725309,-7.06,1.64E-12,--,SARS,chr1,109757585,
cg24686420,-7.06,1.65E-12,--,SPIDR;SPIDR;SPIDR;SPIDR,chr8,48540511,
cg10486610,7.06,1.68E-12,++,LOC100127888;SLCO4A1,chr20,61298677,
cg13549638,7.06,1.69E-12,++,RPTOR;RPTOR,chr17,78860076,
cg25526547,7.06,1.70E-12,++,MED13L,chr12,116436245,
cg11087128,7.05,1.77E-12,++,,chr2,38693029,
cg11253416,-7.05,1.77E-12,--,CHMP4C,chr8,82643680,
cg17995119,-7.05,1.78E-12,--,SLC38A1;SLC38A1;SLC38A1;SLC38A1;SLC38A1;SLC38A1,chr12,46660306,
cg07323651,7.05,1.79E-12,++,CDH23;CDH23;CDH23;CDH23;CDH23,chr10,73292019,
cg02554627,7.05,1.82E-12,++,PTPN1;PTPN1,chr20,49192614,
cg19618385,7.05,1.83E-12,++,STARD9,chr15,42983823,
cg10922232,7.04,1.88E-12,++,GGA3;GGA3,chr17,73238491,
cg17038235,7.04,1.90E-12,++,ERGIC1,chr5,172370524,
cg01349024,7.04,1.91E-12,++,MAN1C1;MAN1C1,chr1,26102026,
cg24136700,7.04,1.93E-12,++,RAI1,chr17,17696044,
cg16312655,-7.04,1.94E-12,--,SLC38A1;SLC38A1;SLC38A1;SLC38A1,chr12,46663902,
cg18394552,7.04,1.96E-12,++,,chr5,159428643,
cg24867468,7.04,1.99E-12,++,TMC6;TMC6,chr17,76109222,
cg14334382,7.03,2.02E-12,++,HIBADH,chr7,27703802,
cg27637303,-7.03,2.03E-12,--,,chr2,118942893,
cg17264028,7.03,2.06E-12,++,FBXO41;FBXO41,chr2,73487972,
cg02187259,-7.03,2.12E-12,--,FAM49A,chr2,16804452,
cg15961368,7.02,2.18E-12,++,ORAI2;ORAI2;ORAI2;ORAI2,chr7,102090895,
cg11748260,7.02,2.23E-12,++,DHX16;DHX16,chr6,30624395,
cg00085812,7.02,2.25E-12,++,,chr16,30189885,
cg14231565,-7.02,2.26E-12,--,GALNTL6,chr4,173068610,
cg09738346,-7.02,2.29E-12,--,ACVR1B;ACVR1B;ACVR1B,chr12,52371825,
cg20522675,7.02,2.29E-12,++,TPRG1L,chr1,3540077,
cg12107849,-7.02,2.30E-12,--,,chr1,192732997,
cg19388268,-7.01,2.33E-12,--,DLGAP1;DLGAP1;DLGAP1;DLGAP1;DLGAP1;DLGAP1;DLGAP1;DLGAP1;DLGAP1,chr18,3679451,
cg21730926,7.01,2.33E-12,++,,chr14,35853785,
cg26804423,-7.01,2.35E-12,--,ICA1;ICA1;ICA1,chr7,8201134,
cg02333261,7.01,2.41E-12,++,MAP2K2,chr19,4113047,
cg13526915,-7.01,2.43E-12,--,,chr14,24164078,
cg01552919,7.01,2.44E-12,++,GAK,chr4,901847,
cg17378803,-7.01,2.45E-12,--,,chr2,242823275,
cg20288570,-7.01,2.46E-12,--,IKZF1;IKZF1;IKZF1;IKZF1;IKZF1;IKZF1;IKZF1;IKZF1;IKZF1;IKZF1;IKZF1;IKZF1;IKZF1;IKZF1;IKZF1;IKZF1;IKZF1,chr7,50428404,
cg04580717,7.01,2.48E-12,++,SLC7A6;SLC7A6,chr16,68332003,
cg18634464,-7.00,2.49E-12,--,OR8B12,chr11,124414265,
cg24109116,-7.00,2.56E-12,--,MBLAC1,chr7,99725975,
cg20481655,-7.00,2.57E-12,--,,chr14,22979162,
cg16700555,-7.00,2.57E-12,--,UQCRFS1,chr19,29700860,
cg18770579,7.00,2.62E-12,++,C19orf76;PRMT1;PRMT1;PRMT1,chr19,50191342,
cg09856467,6.99,2.72E-12,++,TPST2;TPST2,chr22,26938937,
cg05478677,6.99,2.73E-12,++,,chr20,412129,
cg15579927,-6.99,2.76E-12,--,TRPM3;TRPM3;TRPM3;TRPM3;TRPM3;TRPM3;TRPM3;TRPM3;TRPM3,chr9,73404636,
cg01024504,6.99,2.79E-12,++,ST3GAL1;ST3GAL1,chr8,134498575,
cg22594773,-6.99,2.84E-12,--,PITPNM2;PITPNM2,chr12,123577003,
cg17820065,6.98,2.86E-12,++,CHD4,chr12,6679571,
cg16022904,6.98,2.89E-12,++,RPS6KA1,chr1,26870173,
cg15306126,-6.98,2.90E-12,--,SLC38A1;SLC38A1;SLC38A1;SLC38A1,chr12,46663900,
cg05203855,6.98,2.92E-12,++,TIMM44,chr19,7994445,
cg24403641,6.98,2.94E-12,++,,chr18,53687149,
cg23180947,6.98,2.97E-12,++,BRD1;BRD1,chr22,50216831,
cg27551390,-6.98,2.97E-12,--,PLEKHA8P1,chr12,45578214,
cg08752433,-6.98,3.03E-12,--,PPTC7,chr12,111016566,
cg12605080,-6.98,3.04E-12,--,CTDSPL;CTDSPL,chr3,37966887,
cg13747876,6.97,3.12E-12,++,SLC16A3;SLC16A3;SLC16A3,chr17,80195402,
cg27230067,-6.97,3.14E-12,--,AK5;AK5,chr1,77933593,
cg02372435,6.97,3.15E-12,++,,chr2,2850104,
cg11463779,-6.97,3.18E-12,--,MYO18A;MYO18A,chr17,27507729,
cg01126481,-6.97,3.19E-12,--,RUNX2;RUNX2;RUNX2,chr6,45508422,
cg11816444,-6.97,3.24E-12,--,,chr13,49326573,
cg02850815,6.97,3.24E-12,++,SCRIB;SCRIB;MIR937,chr8,144896183,
cg02114747,-6.96,3.30E-12,--,,chr14,22891327,
cg24054032,-6.96,3.30E-12,--,,chr1,68118899,
cg24805654,6.96,3.31E-12,++,GPR137B,chr1,236319812,
cg06692408,6.96,3.31E-12,++,NLRP12;NLRP12;NLRP12,chr19,54312960,
cg17045268,6.96,3.43E-12,++,,chr9,95815680,
cg27262415,6.96,3.52E-12,++,PTPRCAP,chr11,67205166,
cg01759870,6.95,3.55E-12,++,MTA1,chr14,105936409,
cg26973137,-6.95,3.65E-12,--,KIF6;KIF6;KIF6,chr6,39666770,
