chr,pos,id,obs.ct,hudson.fst,coords,z.glm,p.glm,beta.godmc,cpg.godmc,pct.godmc,end,start,cpg,ancestry
11,119154221,.,504,0.0695521,11_119154221,-3.52012,0.000431352,0.4464694,cg03222066,0.878429195263803,119154221,119154221,cg03222066,CHB
6,30262053,.,504,0.0723522,6_30262053,-4.83698,1.31827e-06,0.4386701,cg23721712,0.873101563638225,30262053,30262053,cg23721712,CHB
4,6305942,.,504,0.0635859,4_6305942,-3.47804,0.000505091,0.4345673,cg06411479,0.870136518099378,6305942,6305942,cg06411479,CHB
1,111324762,.,504,0.0704222,1_111324762,-4.77129,1.83054e-06,0.4342634,cg18346412,0.86994751121244,111324762,111324762,cg18346412,CHB
6,130431283,.,504,0.05879,6_130431283,-3.67985,0.000233368,-0.4277454,cg00687021,0.864816761760757,130431283,130431283,cg00687021,CHB
6,29448336,.,504,0.0604425,6_29448336,-3.59798,0.000320693,0.4223415,cg03343571,0.860571982091597,29448336,29448336,cg03343571,CHB
6,29423056,.,504,0.0664563,6_29423056,-3.64847,0.00026381,0.4018259,cg15617549,0.842671454841136,29423056,29423056,cg15617549,CHB
17,2089273,.,504,0.0714538,17_2089273,-3.2067,0.00134269,0.3964267,cg00138101,0.837725774632913,2089273,2089273,cg00138101,CHB
11,71421822,.,504,0.0710145,11_71421822,5.14827,2.62896e-07,0.3952346,cg04774822,0.836674423824318,71421822,71421822,cg04774822,CHB
3,195792447,.,504,0.0568221,3_195792447,-4.63534,3.56344e-06,0.3919297,cg00789671,0.833508558468099,195792447,195792447,cg00789671,CHB
8,58820819,.,504,0.0692744,8_58820819,4.76199,1.91697e-06,0.3836988,cg09643139,0.825361574112357,58820819,58820819,cg09643139,CHB
1,150561892,.,504,0.0634626,1_150561892,-4.43573,9.17604e-06,0.381103,cg07929029,0.822648537756095,150561892,150561892,cg07929029,CHB
3,195750920,.,504,0.0582313,3_195750920,-4.74377,2.09772e-06,-0.374886,cg01570938,0.816171114234975,195750920,195750920,cg01570938,CHB
6,29437629,.,504,0.0687976,6_29437629,-3.70819,0.000208747,0.3697558,cg09495482,0.810721415661583,29437629,29437629,cg09495482,CHB
11,48099384,.,504,0.073285,11_48099384,4.82745,1.38295e-06,0.3685565,cg14901284,0.809418055670404,48099384,48099384,cg14901284,CHB
11,61776027,.,504,0.137143,11_61776027,-6.24577,4.21706e-10,-0.3677463,cg16213375,0.808575399966136,61776027,61776027,cg16213375,CHB
4,6268329,.,504,0.0588707,4_6268329,-3.39553,0.000684947,-0.3660289,cg12788866,0.806712894601097,6268329,6268329,cg12788866,CHB
3,52999279,.,504,0.0576607,3_52999279,-4.18299,2.87703e-05,0.3614096,cg24530246,0.801696336810273,52999279,52999279,cg24530246,CHB
11,61814292,.,504,0.118798,11_61814292,-5.82074,5.85875e-09,-0.3515634,cg14725641,0.790281108367886,61814292,61814292,cg14725641,CHB
2,86436425,.,504,0.0818383,2_86436425,4.4044,1.06076e-05,0.3501234,cg11223252,0.788619422820219,86436425,86436425,cg11223252,CHB
1,11874321,.,504,0.0670164,1_11874321,4.67989,2.87036e-06,-0.3417973,cg00299820,0.778668997751606,11874321,11874321,cg00299820,CHB
6,29533737,.,504,0.0611731,6_29533737,4.70696,2.51438e-06,0.3414976,cg02824029,0.778385487421198,29533737,29533737,cg02824029,CHB
4,6276492,.,504,0.0612236,4_6276492,-3.41855,0.000629562,0.3365485,cg25311466,0.772494772778283,6276492,6276492,cg25311466,CHB
16,15938949,.,504,0.058107,16_15938949,4.47702,7.5693e-06,-0.3330386,cg04879387,0.76831299540477,15938949,15938949,cg04879387,CHB
17,17517479,.,504,0.0571968,17_17517479,-3.42892,0.000605985,-0.3316665,cg01246520,0.766808815596218,17517479,17517479,cg01246520,CHB
20,46060430,.,504,0.0594348,20_46060430,-4.35104,1.3549e-05,0.3241515,cg07060233,0.758228690457909,46060430,46060430,cg07060233,CHB
2,71461493,.,504,0.0591747,2_71461493,-3.55911,0.000372111,-0.3236455,cg17974684,0.757547478136235,71461493,71461493,cg17974684,CHB
1,109518426,.,504,0.0752198,1_109518426,4.84329,1.27705e-06,-0.3202606,cg22247664,0.753869719127891,109518426,109518426,cg22247664,CHB
4,48028886,.,504,0.070948,4_48028886,-4.08329,4.44021e-05,0.3162517,cg19000186,0.749652502963077,48028886,48028886,cg19000186,CHB
3,195759762,.,504,0.0698429,3_195759762,5.18894,2.11495e-07,0.3157828,cg08120226,0.749085482302261,195759762,195759762,cg08120226,CHB
2,238636108,.,504,0.0514064,2_238636108,4.59078,4.416e-06,-1.2259809,cg10160614,0.996554561956851,238636108,238636108,cg10160614,CHS
6,30597324,.,504,0.0449044,6_30597324,-2.94616,0.00321745,-0.9197152,cg10108296,0.987112092896885,30597324,30597324,cg10108296,CHS
6,31254789,.,504,0.0517027,6_31254789,4.23098,2.32672e-05,-0.8261985,cg17096289,0.980343283758402,31254789,31254789,cg17096289,CHS
6,29496588,.,504,0.0636896,6_29496588,-3.17569,0.00149481,0.8191399,cg02188185,0.979748699593241,29496588,29496588,cg02188185,CHS
6,29936213,.,504,0.0877623,6_29936213,-4.06595,4.78379e-05,0.719073,cg14375543,0.968613043837785,29936213,29936213,cg14375543,CHS
6,31410974,.,504,0.048161,6_31410974,-3.31892,0.000903675,0.6655019,cg03694466,0.959587964986474,31410974,31410974,cg03694466,CHS
6,29993181,.,504,0.0513412,6_29993181,-3.85929,0.000113717,0.6545651,cg13169221,0.957485263369284,29993181,29993181,cg13169221,CHS
6,34632896,.,504,0.0504636,6_34632896,4.25958,2.04812e-05,0.6508242,cg20355598,0.956705609960663,34632896,34632896,cg20355598,CHS
6,34826058,.,504,0.0529562,6_34826058,4.35005,1.36109e-05,0.6443008,cg13137465,0.955362873534704,34826058,34826058,cg13137465,CHS
6,32100190,.,504,0.0551408,6_32100190,4.71591,2.40637e-06,0.6343311,cg10736208,0.953051476813186,32100190,32100190,cg10736208,CHS
6,30621770,.,504,0.0525103,6_30621770,-3.05594,0.00224353,-0.6130506,cg13253439,0.94796404143976,30621770,30621770,cg13253439,CHS
6,29446992,.,504,0.0453038,6_29446992,-3.30993,0.000933201,-0.6033114,cg16666297,0.945554203631295,29446992,29446992,cg16666297,CHS
19,10312662,.,504,0.0452515,19_10312662,4.01258,6.00582e-05,-0.5613561,cg01466491,0.933245130119429,10312662,10312662,cg01466491,CHS
6,30015521,.,504,0.0513412,6_30015521,-3.85929,0.000113717,-0.548825,cg10888226,0.929051539815482,30015521,30015521,cg10888226,CHS
1,22064084,.,504,0.0458913,1_22064084,3.35985,0.000779858,-0.5387626,cg13430819,0.925338342015837,22064084,22064084,cg13430819,CHS
6,29977202,.,504,0.0475315,6_29977202,-3.75193,0.00017548,0.5215757,cg05055326,0.918514405868664,29977202,29977202,cg05055326,CHS
6,29437521,.,504,0.0636896,6_29437521,-3.17569,0.00149481,0.5058951,cg07814565,0.911387271173693,29437521,29437521,cg07814565,CHS
6,29524291,.,504,0.0453228,6_29524291,-2.71258,0.00667617,-0.5020044,cg14278853,0.909489327017353,29524291,29524291,cg14278853,CHS
6,29981283,.,504,0.0539006,6_29981283,-3.87674,0.000105865,0.4990475,cg16908633,0.908146590591395,29981283,29981283,cg16908633,CHS
6,32444069,.,504,0.0877035,6_32444069,-4.70767,2.50559e-06,-0.4948537,cg22425813,0.906130517130718,32444069,32444069,cg22425813,CHS
17,83029891,.,504,0.0593546,17_83029891,4.78019,1.75129e-06,-0.4943691,cg00920069,0.905886383235089,83029891,83029891,cg00920069,CHS
6,32475581,.,504,0.0554453,6_32475581,-3.77488,0.000160084,0.4940839,cg17039645,0.905772191574231,32475581,32475581,cg17039645,CHS
6,32389567,.,504,0.0638509,6_32389567,-3.85057,0.000117842,0.4903628,cg19383211,0.903956937930926,32389567,32389567,cg19383211,CHS
6,34987023,.,504,0.0452458,6_34987023,4.04272,5.28354e-05,-0.4877708,cg10510775,0.902574825070188,34987023,34987023,cg10510775,CHS
6,29921737,.,504,0.0769396,6_29921737,-3.97577,7.01515e-05,0.4738242,cg04227238,0.89495942258396,29921737,29921737,cg04227238,CHS
6,31365526,.,504,0.0536534,6_31365526,4.5664,4.96168e-06,-0.4567919,cg10542672,0.884930244645789,31365526,31365526,cg10542672,CHS
6,31359152,.,504,0.0989572,6_31359152,6.12534,9.04915e-10,0.4517949,cg18086664,0.881736815785225,31359152,31359152,cg18086664,CHS
6,31485276,.,504,0.044984,6_31485276,-2.38673,0.0169988,-0.4489351,cg20891116,0.880055442020169,31485276,31485276,cg20891116,CHS
5,131245502,.,504,0.0470171,5_131245502,-3.85711,0.000114737,-0.438205,cg01355876,0.872770801586083,131245502,131245502,cg01355876,CHS
15,56505240,.,504,0.0634909,15_56505240,-4.14056,3.46461e-05,-0.4272386,cg14026238,0.864356057473844,56505240,56505240,cg14026238,CHS
6,29998355,.,504,0.0513412,6_29998355,-3.85929,0.000113717,0.4270582,cg15196165,0.864210364665162,29998355,29998355,cg15196165,CHS
6,29448336,.,504,0.0453038,6_29448336,-3.30993,0.000933201,0.4223415,cg03343571,0.860571982091597,29448336,29448336,cg03343571,CHS
2,96276082,.,504,0.0543817,2_96276082,-3.71179,0.000205798,-0.4136398,cg18419276,0.853492099118362,96276082,96276082,cg18419276,CHS
2,131539556,.,504,0.0466595,2_131539556,4.19565,2.72091e-05,0.4130744,cg09318169,0.852940829031458,131539556,131539556,cg09318169,CHS
10,1296990,.,504,0.0587072,10_1296990,-2.62374,0.00869696,-0.3874055,cg16253451,0.829122023633736,1296990,1296990,cg16253451,CHS
12,26138216,.,504,0.0679361,12_26138216,-4.44516,8.78254e-06,0.3802304,cg04843676,0.821719253895314,26138216,26138216,cg04843676,CHS
6,30084229,.,504,0.0622462,6_30084229,-4.00089,6.31058e-05,0.3797754,cg14731892,0.821238861391012,30084229,30084229,cg14731892,CHS
6,30560627,.,504,0.0483562,6_30560627,-3.08698,0.00202198,-0.3744945,cg04589027,0.81573403580893,30560627,30560627,cg04589027,CHS
3,4122414,.,504,0.0452839,3_4122414,4.07699,4.56228e-05,-0.3739374,cg16519197,0.815143389287247,4122414,4122414,cg16519197,CHS
4,16031325,.,504,0.0510043,4_16031325,4.30934,1.63746e-05,-0.3724209,cg10520790,0.81353683074827,16031325,16031325,cg10520790,CHS
6,32110596,.,504,0.0485053,6_32110596,4.44378,8.8393e-06,0.3722809,cg13823701,0.813379325009155,32110596,32110596,cg13823701,CHS
18,24105703,.,504,0.0512149,18_24105703,-3.87956,0.000104647,-0.3703081,cg21026022,0.811323875113699,24105703,24105703,cg21026022,CHS
16,3028164,.,504,0.0492249,16_3028164,-3.5961,0.000323028,-0.3637612,cg04293152,0.804192802775251,3028164,3028164,cg04293152,CHS
6,30008173,.,504,0.0513412,6_30008173,-3.85929,0.000113717,0.3458143,cg25978138,0.783421733429412,30008173,30008173,cg25978138,CHS
6,32761558,.,504,0.0655241,6_32761558,-4.08968,4.31965e-05,0.3389099,cg02293354,0.775274749073669,32761558,32761558,cg02293354,CHS
3,138948080,.,504,0.0462279,3_138948080,-2.53457,0.0112584,-0.3365567,cg18755942,0.772506585708717,138948080,138948080,cg18755942,CHS
4,26839062,.,504,0.0450075,4_26839062,-3.8481,0.00011904,0.3360248,cg13621396,0.771884438039211,26839062,26839062,cg13621396,CHS
7,665757,.,504,0.0473091,7_665757,-3.63277,0.000280393,-0.3298623,cg10204951,0.764757303344241,665757,665757,cg10204951,CHS
6,27195249,.,504,0.0451327,6_27195249,-3.32555,0.000882456,-0.3264333,cg05180451,0.7607763457881,27195249,27195249,cg05180451,CHS
6,29917456,.,504,0.0610417,6_29917456,-3.43641,0.000589487,-0.3259809,cg13919341,0.760264452135975,29917456,29917456,cg13919341,CHS
6,168857566,.,347,0.0930118,6_168857566,-4.46998,7.82287e-06,-1.0727267,cg08900904,0.993369008383243,168857566,168857566,cg08900904,CLM
8,71531011,.,347,0.10121,8_71531011,-4.79463,1.62972e-06,0.9363641,cg08915632,0.988061064975055,71531011,71531011,cg08915632,CLM
2,74290553,.,347,0.113336,2_74290553,-4.60801,4.06549e-06,0.9307325,cg04255230,0.987742115853346,74290553,74290553,cg04255230,CLM
6,18228784,.,347,0.0946743,6_18228784,-4.66411,3.0996e-06,-0.8390843,cg07382842,0.981520639158289,18228784,18228784,cg07382842,CLM
1,11675595,.,347,0.0963069,1_11675595,-4.75469,1.98747e-06,0.747751,cg17189494,0.972566437889581,11675595,11675595,cg17189494,CLM
2,109094770,.,347,0.183564,2_109094770,-6.13268,8.64134e-10,0.7314161,cg02713669,0.970396796333266,109094770,109094770,cg02713669,CLM
3,26997712,.,347,0.103492,3_26997712,-4.94732,7.52424e-07,0.7174048,cg02860705,0.96838072287259,26997712,26997712,cg02860705,CLM
22,36696464,.,347,0.103399,22_36696464,-4.69296,2.69279e-06,-0.70172,cg17806661,0.966045700290204,36696464,36696464,cg17806661,CLM
18,79972269,.,347,0.0898638,18_79972269,-4.52272,6.10493e-06,0.6678342,cg16553796,0.96008017042121,79972269,79972269,cg16553796,CLM
22,22570486,.,347,0.113961,22_22570486,-4.68316,2.82483e-06,-0.6195447,cg17235766,0.949649352848294,22570486,22570486,cg17235766,CLM
12,57256824,.,347,0.0945499,12_57256824,-4.23779,2.25736e-05,-0.5767183,cg00079477,0.938076618666793,57256824,57256824,cg00079477,CLM
3,122661539,.,347,0.125172,3_122661539,-5.17518,2.2769e-07,0.5629977,cg01948202,0.933796400206332,122661539,122661539,cg01948202,CLM
19,2593330,.,347,0.106385,19_2593330,-4.83913,1.30407e-06,-0.5626795,cg26988138,0.933694021475907,2593330,2593330,cg26988138,CLM
19,3382276,.,347,0.104265,19_3382276,-4.89742,9.71025e-07,-0.5608153,cg26543333,0.933032497371623,3382276,3382276,cg26543333,CLM
11,65896135,.,347,0.0978693,11_65896135,-4.66207,3.1305e-06,0.5551342,cg17712092,0.931146366145716,65896135,65896135,cg17712092,CLM
3,123437045,.,347,0.104161,3_123437045,5.05142,4.38535e-07,0.553653,cg04138502,0.930685661858804,123437045,123437045,cg04138502,CLM
15,44738365,.,347,0.0910583,15_44738365,-4.02364,5.73049e-05,-0.5431824,cg13618776,0.926984276989593,44738365,44738365,cg13618776,CLM
12,56454697,.,347,0.0944234,12_56454697,-4.96306,6.93901e-07,-0.5362057,cg09107438,0.924385432294189,56454697,56454697,cg09107438,CLM
22,36712647,.,347,0.0895211,22_36712647,-4.47452,7.65846e-06,0.5309416,cg22239534,0.92237329647699,36712647,36712647,cg22239534,CLM
6,168841255,.,347,0.0928543,6_168841255,-4.59212,4.38756e-06,0.5271718,cg23192644,0.920837615520615,168841255,168841255,cg23192644,CLM
6,168843444,.,347,0.0899096,6_168843444,-4.71853,2.37559e-06,-0.527114,cg04647494,0.920817927303226,168843444,168843444,cg04647494,CLM
20,16688870,.,347,0.103514,20_16688870,-4.35187,1.3498e-05,-0.5212411,cg02545885,0.918364775416504,16688870,16688870,cg02545885,CLM
12,132181051,.,347,0.0900367,12_132181051,5.04785,4.46804e-07,-0.5180254,cg20360395,0.916840907390563,132181051,132181051,cg20360395,CLM
6,149489514,.,347,0.11397,6_149489514,5.13367,2.84144e-07,-0.5141256,cg11878867,0.915131970121161,149489514,149489514,cg11878867,CLM
17,1792504,.,347,0.134266,17_1792504,-5.70785,1.14413e-08,-0.5116657,cg02467073,0.913986115869097,1792504,1792504,cg02467073,CLM
6,152598784,.,347,0.109353,6_152598784,5.49223,3.9688e-08,-0.5042396,cg16251777,0.910591867191161,152598784,152598784,cg16251777,CLM
11,120206223,.,347,0.0900889,11_120206223,-3.96929,7.20886e-05,0.4948516,cg25909064,0.90612657948724,120206223,120206223,cg25909064,CLM
8,10809071,.,347,0.0935184,8_10809071,-4.75463,1.98813e-06,-0.494639,cg12568669,0.906000574895948,10809071,10809071,cg12568669,CLM
10,69130726,.,347,0.102077,10_69130726,-4.75659,1.96886e-06,-0.4828311,cg04149295,0.900042920313909,69130726,69130726,cg04149295,CLM
11,2200071,.,347,0.0957859,11_2200071,-4.30017,1.7067e-05,-0.4814302,cg25312939,0.899247516331376,2200071,2200071,cg25312939,CLM
10,77108192,.,347,0.0928486,10_77108192,-4.14153,3.44991e-05,0.4795713,cg20107824,0.898318232470596,77108192,77108192,cg20107824,CLM
18,78816204,.,347,0.0904502,18_78816204,-5.08254,3.72426e-07,-0.4785686,cg16859165,0.897790588244559,78816204,78816204,cg16859165,CLM
6,152612773,.,347,0.0908655,6_152612773,-5.00403,5.61451e-07,0.4553008,cg23233589,0.884040337219788,152612773,152612773,cg23233589,CLM
1,230281014,.,347,0.0938672,1_230281014,4.70661,2.51874e-06,-0.4535197,cg12526197,0.882851168889467,230281014,230281014,cg12526197,CLM
17,77495790,.,347,0.09366,17_77495790,4.87201,1.10471e-06,0.4514732,cg20210354,0.881532058324375,77495790,77495790,cg20210354,CLM
6,149492996,.,347,0.114205,6_149492996,5.19202,2.08022e-07,-0.4377595,cg05861140,0.872467603038286,149492996,149492996,cg05861140,CLM
3,122869051,.,347,0.158896,3_122869051,-5.70651,1.15316e-08,-0.4327537,cg08468913,0.868872534542977,122869051,122869051,cg08468913,CLM
14,102551795,.,347,0.101179,14_102551795,5.13389,2.83808e-07,0.4292346,cg09978105,0.866033493595423,102551795,102551795,cg09978105,CLM
1,230692602,.,347,0.103071,1_230692602,4.98599,6.16443e-07,0.420624,cg19125606,0.85926468445694,230692602,230692602,cg19125606,CLM
6,149486387,.,347,0.0914258,6_149486387,-4.69272,2.69602e-06,0.4181569,cg15181151,0.85729192507452,149486387,149486387,cg15181151,CLM
8,95215426,.,347,0.0912426,8_95215426,-4.4076,1.04524e-05,-0.4172909,cg17313222,0.856642213900669,95215426,95215426,cg17313222,CLM
6,168899838,.,347,0.114817,6_168899838,-4.58674,4.50211e-06,0.4123666,cg20585428,0.852334431935864,168899838,168899838,cg20585428,CLM
19,2590864,.,347,0.123073,19_2590864,-5.08715,3.63493e-07,-0.4057802,cg23375538,0.84632952563209,2590864,2590864,cg23375538,CLM
6,71136452,.,347,0.0955343,6_71136452,-4.11967,3.79419e-05,0.4048683,cg12952179,0.845384491197398,71136452,71136452,cg12952179,CLM
6,168885061,.,347,0.0988098,6_168885061,-4.79834,1.59987e-06,0.4016375,cg12550496,0.842537574962888,168885061,168885061,cg12550496,CLM
12,56461021,.,347,0.101707,12_56461021,-5.21378,1.85031e-07,-0.3937697,cg00377653,0.835367126189661,56461021,56461021,cg00377653,CLM
2,102298752,.,347,0.0939662,2_102298752,-4.74202,2.11602e-06,-0.392064,cg19642470,0.833630625415914,102298752,102298752,cg19642470,CLM
5,42927413,.,347,0.103232,5_42927413,-4.88302,1.04472e-06,-0.3903091,cg25669494,0.831921688146512,42927413,42927413,cg25669494,CLM
6,168871524,.,347,0.0998994,6_168871524,-4.90334,9.42217e-07,0.3879819,cg09147024,0.829712670155419,168871524,168871524,cg09147024,CLM
6,168863640,.,347,0.108193,6_168863640,-5.17621,2.26436e-07,-0.3843845,cg10091811,0.82619241688619,168863640,168863640,cg10091811,CLM
22,42547937,.,2503,0.516649,22_42547937,23.4234,2.46844e-121,-1.0314669,cg20727362,0.992014459026851,42547937,42547937,cg20727362,EAS
13,49746825,.,2503,0.494822,13_49746825,24.2888,2.57201e-130,-1.0059109,cg20733077,0.991049736374769,49746825,49746825,cg20733077,EAS
1,1434687,.,2503,0.511862,1_1434687,23.0267,2.51832e-117,0.8738788,cg09668627,0.984095857992826,1434687,1434687,cg09668627,EAS
3,71431976,.,2503,0.616909,3_71431976,21.4584,3.81559e-102,0.7492857,cg02336104,0.972731818915652,71431976,71431976,cg02336104,EAS
19,14471656,.,2503,0.680882,19_14471656,23.1158,3.21002e-118,0.7243991,cg19243826,0.969412385463795,14471656,14471656,cg19243826,EAS
6,170280715,.,2503,0.525291,6_170280715,23.816,2.28142e-125,-0.6550988,cg18217622,0.957571891525797,170280715,170280715,cg18217622,EAS
15,63556606,.,2503,0.497079,15_63556606,23.9088,2.48003e-126,-0.5977091,cg23737062,0.944065774396655,63556606,63556606,cg23737062,EAS
15,28023844,.,2503,0.571795,15_28023844,24.3401,7.37678e-131,0.5833086,cg03357803,0.940006063970956,28023844,28023844,cg03357803,EAS
1,234097472,.,2503,0.603691,1_234097472,24.7354,4.45708e-135,0.5337441,cg07566700,0.923412834355152,234097472,234097472,cg07566700,EAS
13,50371464,.,2503,0.545004,13_50371464,23.51,3.22326e-122,0.5249377,cg14651504,0.91993589516418,50371464,50371464,cg14651504,EAS
1,75631519,.,2503,0.554457,1_75631519,21.0626,1.75327e-98,-0.5245449,cg13421759,0.919742950633764,75631519,75631519,cg13421759,EAS
16,90045425,.,2503,0.583562,16_90045425,24.7967,9.73287e-136,-0.5118316,cg06174989,0.914064868738655,90045425,90045425,cg06174989,EAS
19,17677513,.,2503,0.50248,19_17677513,-15.1164,1.26197e-51,0.4849106,cg03658384,0.901173023992062,17677513,17677513,cg03658384,EAS
4,5946066,.,2503,0.540797,4_5946066,23.5001,4.06554e-122,-0.4833768,cg16879197,0.90033824357475,5946066,5946066,cg16879197,EAS
7,22728600,.,2503,0.529815,7_22728600,24.4348,7.30355e-132,0.4810822,cg02335517,0.899086072948783,22728600,22728600,cg02335517,EAS
15,63502762,.,2503,0.643143,15_63502762,24.204,2.01806e-129,-0.4767547,cg22599514,0.896751050366398,63502762,63502762,cg22599514,EAS
17,50394909,.,2503,0.536424,17_50394909,24.1683,4.79813e-129,0.4737236,cg21011621,0.894908233218748,50394909,50394909,cg21011621,EAS
6,170402740,.,2503,0.606876,6_170402740,23.4284,2.19752e-121,-0.4730997,cg04257751,0.89451446887096,170402740,170402740,cg04257751,EAS
1,154861616,.,2503,0.516799,1_154861616,21.1121,6.15684e-99,0.4327226,cg12436631,0.868841033395154,154861616,154861616,cg12436631,EAS
3,44743099,.,2503,0.495444,3_44743099,23.8259,1.80022e-125,0.4244695,cg25593573,0.862253355856654,44743099,44743099,cg25593573,EAS
7,101883630,.,2503,0.52118,7_101883630,24.0805,3.99734e-128,-0.4208452,cg14526021,0.859418252552577,101883630,101883630,cg14526021,EAS
15,55588909,.,2503,0.553315,15_55588909,-18.3259,5.14708e-75,-0.4194271,cg17221584,0.858272398300513,55588909,55588909,cg17221584,EAS
17,3258809,.,2503,0.518908,17_3258809,21.216,6.78961e-100,0.404811,cg26602314,0.845297863040885,3258809,3258809,cg26602314,EAS
20,1482382,.,2503,0.498586,20_1482382,23.8681,6.57422e-126,-0.3994387,cg07571344,0.840525439145689,1482382,1482382,cg07571344,EAS
2,19377185,.,2503,0.521021,2_19377185,24.3803,2.76424e-131,-0.3904823,cg14210681,0.832079193885627,19377185,19377185,cg14210681,EAS
7,28102567,.,2503,0.507987,7_28102567,-18.4193,9.19279e-76,-0.3892448,cg26102728,0.830929401990085,28102567,28102567,cg26102728,EAS
7,101892087,.,2503,0.512902,7_101892087,23.5158,2.80988e-122,-0.3863759,cg27608981,0.828184864486,101892087,101892087,cg27608981,EAS
12,95617908,.,2503,0.503121,12_95617908,24.3522,5.49929e-131,-0.3857965,cg03162823,0.827590280320839,95617908,95617908,cg03162823,EAS
5,154157275,.,2503,0.583204,5_154157275,22.7074,3.78428e-114,-0.377088,cg14968553,0.818517949747794,154157275,154157275,cg14968553,EAS
13,21248288,.,2503,0.50646,13_21248288,-8.43104,3.42609e-17,-0.3705989,cg10467557,0.81163888659193,21248288,21248288,cg10467557,EAS
2,32937787,.,2503,0.638855,2_32937787,20.269,2.41535e-91,0.3660478,cg21139003,0.806740458105442,32937787,32937787,cg21139003,EAS
14,96870415,.,2503,0.614286,14_96870415,24.816,6.03125e-136,-0.3635849,cg19638039,0.804035297036136,96870415,96870415,cg19638039,EAS
22,43153254,.,2503,0.580324,22_43153254,-16.0972,2.66778e-58,-0.3562399,cg01678833,0.795837123315181,43153254,43153254,cg01678833,EAS
8,140283216,.,2503,0.559511,8_140283216,18.8679,2.09406e-79,-0.355185,cg11256152,0.794596765619647,140283216,140283216,cg11256152,EAS
6,21497019,.,2503,0.57827,6_21497019,22.9774,7.83707e-117,0.3478205,cg24428877,0.785744943081364,21497019,21497019,cg24428877,EAS
1,234154765,.,2503,0.646682,1_234154765,24.9177,4.78182e-137,-0.3424965,cg00161124,0.779523466386307,234154765,234154765,cg00161124,EAS
20,2098349,.,2503,0.560844,20_2098349,24.6933,1.26221e-134,-0.3410868,cg12683410,0.777838154977772,2098349,2098349,cg12683410,EAS
14,77550301,.,2503,0.493729,14_77550301,22.6368,1.884e-113,0.3408754,cg14544289,0.777511330569108,77550301,77550301,cg14544289,EAS
8,11092886,.,2503,0.496003,8_11092886,-19.272,9.22533e-83,0.3383479,cg08265495,0.774573848534606,11092886,11092886,cg08265495,EAS
17,32464485,.,2503,0.497637,17_32464485,22.1456,1.14958e-108,0.3332772,cg09010067,0.768624069239523,32464485,32464485,cg09010067,EAS
8,10887959,.,2503,0.527015,8_10887959,-16.302,9.54831e-60,-0.3320548,cg12395012,0.767265582239653,10887959,10887959,cg12395012,EAS
10,89183210,.,2503,0.584915,10_89183210,25.0928,5.95805e-139,-0.325103,cg12555086,0.759283978909982,89183210,89183210,cg12555086,EAS
1,234120903,.,2503,0.606713,1_234120903,24.8401,3.30489e-136,-0.325042,cg13058819,0.759185537823035,234120903,234120903,cg13058819,EAS
10,23332026,.,2503,0.505943,10_23332026,24.091,3.10844e-128,0.3245703,cg18853376,0.758638205379608,23332026,23332026,cg18853376,EAS
2,25953508,.,2503,0.532485,2_25953508,23.7801,5.36575e-125,0.3140284,cg04944784,0.74728204158939,25953508,25953508,cg04944784,EAS
16,30525351,.,2503,0.541909,16_30525351,23.531,1.96536e-122,0.3089692,cg03418659,0.741584271476892,30525351,30525351,cg03418659,EAS
4,2266399,.,2503,0.568075,4_2266399,20.4198,1.11633e-92,0.3070961,cg12674840,0.739635137955339,2266399,2266399,cg12674840,EAS
20,63557677,.,2503,0.561714,20_63557677,23.5921,4.64543e-123,0.3064037,cg26221801,0.738918486842364,63557677,63557677,cg26221801,EAS
2,28423980,.,2503,0.505518,2_28423980,24.1096,1.9847e-128,0.3062834,cg24044560,0.738800357538028,28423980,28423980,cg24044560,EAS
9,126609596,.,2503,0.591567,9_126609596,24.7098,8.40068e-135,-0.3012161,cg09660171,0.73293326875598,126609596,126609596,cg09660171,EAS
6,32823614,.,660,0.0596191,6_32823614,5.2125,1.86308e-07,1.1826333,cg14022881,0.995861536704744,32823614,32823614,cg14022881,ESN
11,1222830,.,660,0.0669508,11_1222830,5.14246,2.71169e-07,1.0032437,cg00616965,0.990963108218256,1222830,1222830,cg00616965,ESN
22,38921099,.,660,0.0658576,22_38921099,4.91788,8.74874e-07,0.8167998,cg07123855,0.979532129201958,38921099,38921099,cg07123855,ESN
10,70258816,.,660,0.0607124,10_70258816,5.14034,2.74244e-07,0.626999,cg14890730,0.951354352474218,70258816,70258816,cg14890730,ESN
4,75541804,.,660,0.0618258,4_75541804,4.78285,1.72824e-06,-0.6197154,cg24797456,0.949704479856985,75541804,75541804,cg24797456,ESN
12,6330843,.,660,0.0677414,12_6330843,-4.62728,3.70508e-06,0.6050777,cg00556515,0.946007032631251,6330843,6330843,cg00556515,ESN
14,68605219,.,660,0.0600287,14_68605219,4.93125,8.17058e-07,0.6027796,cg12813394,0.945467575474781,68605219,68605219,cg12813394,ESN
11,60993058,.,660,0.0630292,11_60993058,4.93326,8.08681e-07,-0.5560944,cg13520651,0.931488941128292,60993058,60993058,cg13520651,ESN
1,153887540,.,660,0.071163,1_153887540,-2.82493,0.00472912,0.5443319,cg04137323,0.927409542485204,153887540,153887540,cg04137323,ESN
6,31725193,.,660,0.0599551,6_31725193,5.12234,3.01766e-07,0.5355234,cg03560996,0.924109797250737,31725193,31725193,cg03560996,ESN
